Metric,ExecID,ReqID,Value
MainEntry,1,0,6962966863764053
MainExit,1,0,6962966875877599
Ready2Serve,1,0,6962967993810457
RuntimeReadyTime,1,0,31436479
ServiceTime,1,0,1642621021
LatencyTime,1,0,1674057500
LatencyTime,1,1,104220974
ServiceTime,1,1,103571117
LatencyTime,1,2,101535460
ServiceTime,1,2,101198948
LatencyTime,1,3,141691408
ServiceTime,1,3,140622354
LatencyTime,1,4,144911536
ServiceTime,1,4,144472557
LatencyTime,1,5,136165730
ServiceTime,1,5,135502694
LatencyTime,1,6,133626224
ServiceTime,1,6,132579642
LatencyTime,1,7,133112292
ServiceTime,1,7,132441598
LatencyTime,1,8,470213396
ServiceTime,1,8,469885301
LatencyTime,1,9,211543756
ServiceTime,1,9,210791368
LatencyTime,1,10,24027177
ServiceTime,1,10,23843696
LatencyTime,1,11,23258485
ServiceTime,1,11,22848452
LatencyTime,1,12,63580867
ServiceTime,1,12,62712993
LatencyTime,1,13,35191596
ServiceTime,1,13,34309777
LatencyTime,1,14,35356195
ServiceTime,1,14,34772557
LatencyTime,1,15,32103676
ServiceTime,1,15,31611965
LatencyTime,1,16,33052320
ServiceTime,1,16,32476401
LatencyTime,1,17,35813982
ServiceTime,1,17,34668804
LatencyTime,1,18,30438273
ServiceTime,1,18,24065849
LatencyTime,1,19,32917733
ServiceTime,1,19,32612027
LatencyTime,1,20,34183743
ServiceTime,1,20,33699677
LatencyTime,1,21,32432006
ServiceTime,1,21,31984345
LatencyTime,1,22,32410493
ServiceTime,1,22,32097192
LatencyTime,1,23,26207602
ServiceTime,1,23,25798078
LatencyTime,1,24,32593201
ServiceTime,1,24,31829602
LatencyTime,1,25,32010014
ServiceTime,1,25,31416515
LatencyTime,1,26,27782433
ServiceTime,1,26,27266857
LatencyTime,1,27,37289489
ServiceTime,1,27,36728270
LatencyTime,1,28,31525701
ServiceTime,1,28,31062628
LatencyTime,1,29,30305259
ServiceTime,1,29,29837267
LatencyTime,1,30,28659384
ServiceTime,1,30,28076771
LatencyTime,1,31,33339126
ServiceTime,1,31,32460062
LatencyTime,1,32,27064835
ServiceTime,1,32,26622160
LatencyTime,1,33,35016466
ServiceTime,1,33,34432304
LatencyTime,1,34,27412722
ServiceTime,1,34,27204026
LatencyTime,1,35,29570429
ServiceTime,1,35,29341923
LatencyTime,1,36,33660231
ServiceTime,1,36,33430622
LatencyTime,1,37,30172783
ServiceTime,1,37,29689393
LatencyTime,1,38,32486389
ServiceTime,1,38,32209891
LatencyTime,1,39,29272077
ServiceTime,1,39,28858348
LatencyTime,1,40,27641039
ServiceTime,1,40,27248032
LatencyTime,1,41,31122462
ServiceTime,1,41,30602831
LatencyTime,1,42,33877809
ServiceTime,1,42,33278679
LatencyTime,1,43,30664161
ServiceTime,1,43,30467507
LatencyTime,1,44,29766755
ServiceTime,1,44,29379799
LatencyTime,1,45,26935547
ServiceTime,1,45,26547827
LatencyTime,1,46,27203935
ServiceTime,1,46,27033061
LatencyTime,1,47,26838759
ServiceTime,1,47,26490519
LatencyTime,1,48,29767064
ServiceTime,1,48,29300505
LatencyTime,1,49,29690871
ServiceTime,1,49,29245945
LatencyTime,1,50,25886402
ServiceTime,1,50,25225633
LatencyTime,1,51,25578732
ServiceTime,1,51,25025335
LatencyTime,1,52,26603258
ServiceTime,1,52,25912890
LatencyTime,1,53,38016280
ServiceTime,1,53,37478571
LatencyTime,1,54,22912251
ServiceTime,1,54,22410322
LatencyTime,1,55,23072864
ServiceTime,1,55,22516058
LatencyTime,1,56,24884356
ServiceTime,1,56,24396820
LatencyTime,1,57,23374636
ServiceTime,1,57,22692497
LatencyTime,1,58,25808823
ServiceTime,1,58,25190307
LatencyTime,1,59,23219287
ServiceTime,1,59,22618294
LatencyTime,1,60,26960855
ServiceTime,1,60,26235251
LatencyTime,1,61,27198066
ServiceTime,1,61,26571453
LatencyTime,1,62,32291016
ServiceTime,1,62,31718524
LatencyTime,1,63,25477389
ServiceTime,1,63,24915708
LatencyTime,1,64,26846024
ServiceTime,1,64,26400076
LatencyTime,1,65,33499988
ServiceTime,1,65,33053032
LatencyTime,1,66,29421818
ServiceTime,1,66,28775309
LatencyTime,1,67,28860570
ServiceTime,1,67,28301753
LatencyTime,1,68,28754092
ServiceTime,1,68,28298814
LatencyTime,1,69,29810293
ServiceTime,1,69,29274203
LatencyTime,1,70,30446081
ServiceTime,1,70,29944647
LatencyTime,1,71,29500507
ServiceTime,1,71,28861621
LatencyTime,1,72,33413173
ServiceTime,1,72,32813378
LatencyTime,1,73,30074849
ServiceTime,1,73,29531697
LatencyTime,1,74,32535246
ServiceTime,1,74,31995957
LatencyTime,1,75,30856663
ServiceTime,1,75,30283448
LatencyTime,1,76,32256709
ServiceTime,1,76,31750538
LatencyTime,1,77,27224004
ServiceTime,1,77,26699792
LatencyTime,1,78,26680217
ServiceTime,1,78,26192653
LatencyTime,1,79,27664021
ServiceTime,1,79,27162788
LatencyTime,1,80,29473712
ServiceTime,1,80,28919899
LatencyTime,1,81,32922252
ServiceTime,1,81,32390225
LatencyTime,1,82,29530134
ServiceTime,1,82,29039014
LatencyTime,1,83,33260285
ServiceTime,1,83,32788773
LatencyTime,1,84,37476869
ServiceTime,1,84,36880054
LatencyTime,1,85,29839648
ServiceTime,1,85,29202312
LatencyTime,1,86,31303033
ServiceTime,1,86,30702983
LatencyTime,1,87,29892230
ServiceTime,1,87,29263856
LatencyTime,1,88,31341479
ServiceTime,1,88,30417200
LatencyTime,1,89,38221777
ServiceTime,1,89,37636069
LatencyTime,1,90,35837964
ServiceTime,1,90,35240563
LatencyTime,1,91,33996183
ServiceTime,1,91,33355931
LatencyTime,1,92,29891967
ServiceTime,1,92,29431289
LatencyTime,1,93,27701188
ServiceTime,1,93,27031152
LatencyTime,1,94,30540221
ServiceTime,1,94,29887256
LatencyTime,1,95,39222595
ServiceTime,1,95,38656030
LatencyTime,1,96,28768654
ServiceTime,1,96,28270690
LatencyTime,1,97,30914326
ServiceTime,1,97,30372392
LatencyTime,1,98,31872579
ServiceTime,1,98,31444597
LatencyTime,1,99,33909844
ServiceTime,1,99,33305197
LatencyTime,1,100,30793277
ServiceTime,1,100,30311419
LatencyTime,1,101,36673460
ServiceTime,1,101,36102779
LatencyTime,1,102,33440659
ServiceTime,1,102,33006328
LatencyTime,1,103,37803369
ServiceTime,1,103,37176222
LatencyTime,1,104,32380240
ServiceTime,1,104,31823592
LatencyTime,1,105,29964253
ServiceTime,1,105,29523515
LatencyTime,1,106,26321094
ServiceTime,1,106,25817717
LatencyTime,1,107,27088030
ServiceTime,1,107,26585038
LatencyTime,1,108,30407026
ServiceTime,1,108,29788040
LatencyTime,1,109,33106382
ServiceTime,1,109,32298379
LatencyTime,1,110,27215157
ServiceTime,1,110,26670546
LatencyTime,1,111,30282081
ServiceTime,1,111,29774516
LatencyTime,1,112,30920194
ServiceTime,1,112,30375190
LatencyTime,1,113,27380415
ServiceTime,1,113,26829197
LatencyTime,1,114,30074841
ServiceTime,1,114,29582300
LatencyTime,1,115,30599349
ServiceTime,1,115,30026820
LatencyTime,1,116,30101296
ServiceTime,1,116,29510329
LatencyTime,1,117,32161282
ServiceTime,1,117,31291088
LatencyTime,1,118,28684106
ServiceTime,1,118,28147506
LatencyTime,1,119,28679346
ServiceTime,1,119,28214150
LatencyTime,1,120,30484333
ServiceTime,1,120,29987795
LatencyTime,1,121,25795677
ServiceTime,1,121,25288860
LatencyTime,1,122,30245056
ServiceTime,1,122,29675882
LatencyTime,1,123,26488009
ServiceTime,1,123,26231133
LatencyTime,1,124,33873868
ServiceTime,1,124,33676834
LatencyTime,1,125,29307205
