Metric,ExecID,ReqID,Value
MainEntry,1,0,6957450119573568
MainExit,1,0,6957450130804279
Ready2Serve,1,0,6957450140617324
RuntimeReadyTime,1,0,99436914
ServiceTime,1,0,1641294253
LatencyTime,1,0,1740731167
LatencyTime,1,1,116902607
ServiceTime,1,1,115162256
LatencyTime,1,2,93990331
ServiceTime,1,2,93570982
LatencyTime,1,3,103352506
ServiceTime,1,3,102987499
LatencyTime,1,4,102976380
ServiceTime,1,4,102523496
LatencyTime,1,5,105687928
ServiceTime,1,5,105348587
LatencyTime,1,6,103030146
ServiceTime,1,6,102638801
LatencyTime,1,7,95890557
ServiceTime,1,7,95373766
LatencyTime,1,8,416079921
ServiceTime,1,8,415544474
LatencyTime,1,9,203354322
ServiceTime,1,9,202761475
LatencyTime,1,10,23141699
ServiceTime,1,10,22622517
LatencyTime,1,11,25615679
ServiceTime,1,11,25145478
LatencyTime,1,12,47068640
ServiceTime,1,12,46443669
LatencyTime,1,13,23537103
ServiceTime,1,13,23049573
LatencyTime,1,14,27277642
ServiceTime,1,14,26718766
LatencyTime,1,15,23681670
ServiceTime,1,15,23265212
LatencyTime,1,16,23510487
ServiceTime,1,16,23096039
LatencyTime,1,17,26672198
ServiceTime,1,17,26242771
LatencyTime,1,18,33698269
ServiceTime,1,18,33062956
LatencyTime,1,19,24094569
ServiceTime,1,19,23296697
LatencyTime,1,20,22960838
ServiceTime,1,20,22347979
LatencyTime,1,21,23057385
ServiceTime,1,21,22599700
LatencyTime,1,22,23781480
ServiceTime,1,22,23345339
LatencyTime,1,23,26402492
ServiceTime,1,23,25035490
LatencyTime,1,24,25493468
ServiceTime,1,24,24939244
LatencyTime,1,25,23571956
ServiceTime,1,25,23079792
LatencyTime,1,26,25033099
ServiceTime,1,26,24558185
LatencyTime,1,27,25177889
ServiceTime,1,27,24608211
LatencyTime,1,28,24599875
ServiceTime,1,28,24094409
LatencyTime,1,29,23404118
ServiceTime,1,29,22810017
LatencyTime,1,30,29024789
ServiceTime,1,30,28556175
LatencyTime,1,31,34236551
ServiceTime,1,31,33368159
LatencyTime,1,32,30040399
ServiceTime,1,32,29597820
LatencyTime,1,33,29010749
ServiceTime,1,33,28385094
LatencyTime,1,34,29384962
ServiceTime,1,34,28985019
LatencyTime,1,35,34811252
ServiceTime,1,35,34410085
LatencyTime,1,36,33582634
ServiceTime,1,36,33048015
LatencyTime,1,37,30486804
ServiceTime,1,37,30058519
LatencyTime,1,38,33002903
ServiceTime,1,38,32491892
LatencyTime,1,39,27077640
ServiceTime,1,39,26636962
LatencyTime,1,40,26867983
ServiceTime,1,40,26422481
LatencyTime,1,41,27828283
ServiceTime,1,41,27270300
LatencyTime,1,42,29550339
ServiceTime,1,42,28990801
LatencyTime,1,43,31398068
ServiceTime,1,43,30833302
LatencyTime,1,44,33140749
ServiceTime,1,44,32607774
LatencyTime,1,45,29615214
ServiceTime,1,45,29019256
LatencyTime,1,46,31510138
ServiceTime,1,46,30913905
LatencyTime,1,47,30754472
ServiceTime,1,47,30194729
LatencyTime,1,48,24938610
ServiceTime,1,48,24389286
LatencyTime,1,49,26308287
ServiceTime,1,49,25728369
LatencyTime,1,50,29122860
ServiceTime,1,50,28334167
LatencyTime,1,51,35551939
ServiceTime,1,51,35032844
LatencyTime,1,52,28053233
ServiceTime,1,52,27590545
LatencyTime,1,53,27753041
ServiceTime,1,53,27246408
LatencyTime,1,54,27772285
ServiceTime,1,54,27315495
LatencyTime,1,55,27954302
ServiceTime,1,55,27492212
LatencyTime,1,56,27842182
ServiceTime,1,56,27350583
LatencyTime,1,57,28824004
ServiceTime,1,57,28363083
LatencyTime,1,58,31174253
ServiceTime,1,58,30647228
LatencyTime,1,59,27992224
ServiceTime,1,59,27472675
LatencyTime,1,60,26747935
ServiceTime,1,60,26276393
LatencyTime,1,61,26874722
ServiceTime,1,61,26246691
LatencyTime,1,62,28325006
ServiceTime,1,62,27803290
LatencyTime,1,63,24277209
ServiceTime,1,63,23750842
LatencyTime,1,64,30756700
ServiceTime,1,64,29349451
LatencyTime,1,65,32483350
ServiceTime,1,65,31889743
LatencyTime,1,66,25686379
ServiceTime,1,66,25155869
LatencyTime,1,67,25682768
ServiceTime,1,67,25199144
LatencyTime,1,68,24670661
ServiceTime,1,68,24167025
LatencyTime,1,69,26809413
ServiceTime,1,69,26287861
LatencyTime,1,70,26350058
ServiceTime,1,70,25847949
LatencyTime,1,71,23369648
ServiceTime,1,71,22851772
LatencyTime,1,72,24403033
ServiceTime,1,72,23954827
LatencyTime,1,73,25223546
ServiceTime,1,73,24726899
LatencyTime,1,74,25685150
ServiceTime,1,74,25159729
LatencyTime,1,75,24507595
ServiceTime,1,75,24007245
LatencyTime,1,76,25092624
ServiceTime,1,76,24578245
LatencyTime,1,77,26457818
ServiceTime,1,77,25931853
LatencyTime,1,78,24076526
ServiceTime,1,78,23575527
LatencyTime,1,79,23779588
ServiceTime,1,79,23249791
LatencyTime,1,80,24659096
ServiceTime,1,80,24126026
LatencyTime,1,81,28324080
ServiceTime,1,81,27777833
LatencyTime,1,82,27588514
ServiceTime,1,82,27019570
LatencyTime,1,83,24214786
ServiceTime,1,83,23700271
LatencyTime,1,84,24845482
ServiceTime,1,84,24230203
LatencyTime,1,85,25035472
ServiceTime,1,85,24498467
LatencyTime,1,86,27117565
ServiceTime,1,86,26569273
LatencyTime,1,87,29669233
ServiceTime,1,87,29139647
LatencyTime,1,88,28940724
ServiceTime,1,88,28386900
LatencyTime,1,89,28727908
ServiceTime,1,89,28190146
LatencyTime,1,90,26428057
ServiceTime,1,90,25911672
LatencyTime,1,91,26568586
ServiceTime,1,91,26028188
LatencyTime,1,92,28922255
ServiceTime,1,92,28311457
LatencyTime,1,93,23752646
ServiceTime,1,93,23093026
LatencyTime,1,94,23132427
ServiceTime,1,94,22596829
LatencyTime,1,95,27276323
ServiceTime,1,95,26675754
LatencyTime,1,96,27652570
ServiceTime,1,96,27002301
LatencyTime,1,97,29191015
ServiceTime,1,97,28643026
LatencyTime,1,98,26388187
ServiceTime,1,98,25716420
LatencyTime,1,99,24375284
ServiceTime,1,99,23811942
LatencyTime,1,100,28617777
ServiceTime,1,100,27764491
LatencyTime,1,101,27238387
ServiceTime,1,101,26613112
LatencyTime,1,102,25641034
ServiceTime,1,102,25069406
LatencyTime,1,103,33320148
ServiceTime,1,103,32776561
LatencyTime,1,104,26979854
ServiceTime,1,104,25193257
LatencyTime,1,105,28058371
ServiceTime,1,105,27429529
LatencyTime,1,106,28133847
ServiceTime,1,106,27574111
LatencyTime,1,107,25134193
ServiceTime,1,107,24560295
LatencyTime,1,108,25327214
ServiceTime,1,108,24761142
LatencyTime,1,109,27674705
ServiceTime,1,109,27030785
LatencyTime,1,110,33107490
ServiceTime,1,110,32572390
LatencyTime,1,111,36921692
ServiceTime,1,111,36356927
LatencyTime,1,112,27773484
ServiceTime,1,112,27049100
LatencyTime,1,113,27256998
ServiceTime,1,113,26783208
LatencyTime,1,114,36226325
ServiceTime,1,114,35726650
LatencyTime,1,115,33276967
ServiceTime,1,115,32763378
LatencyTime,1,116,33806226
ServiceTime,1,116,33184383
LatencyTime,1,117,36544613
ServiceTime,1,117,35936547
LatencyTime,1,118,36643367
ServiceTime,1,118,36022692
LatencyTime,1,119,36428005
ServiceTime,1,119,35903327
LatencyTime,1,120,35626575
ServiceTime,1,120,35178855
LatencyTime,1,121,32859669
ServiceTime,1,121,32289784
LatencyTime,1,122,29299994
ServiceTime,1,122,28851584
LatencyTime,1,123,37465431
ServiceTime,1,123,36965248
LatencyTime,1,124,32828372
ServiceTime,1,124,32378967
LatencyTime,1,125,31803075
ServiceTime,1,125,31361639
LatencyTime,1,126,30800203
ServiceTime,1,126,30268978
LatencyTime,1,127,28208526
ServiceTime,1,127,27692401
LatencyTime,1,128,28434427
ServiceTime,1,128,27885133
LatencyTime,1,129,33608917
ServiceTime,1,129,33028328
LatencyTime,1,130,28831898
ServiceTime,1,130,28360494
LatencyTime,1,131,29823577
ServiceTime,1,131,29257759
LatencyTime,1,132,30941695
ServiceTime,1,132,30393902
LatencyTime,1,133,28078532
ServiceTime,1,133,27581733
LatencyTime,1,134,30931309
ServiceTime,1,134,30052606
LatencyTime,1,135,27928553
ServiceTime,1,135,27234461
LatencyTime,1,136,26164307
ServiceTime,1,136,25641691
LatencyTime,1,137,25073430
ServiceTime,1,137,24517082
LatencyTime,1,138,29001296
ServiceTime,1,138,28546892
LatencyTime,1,139,24935535
ServiceTime,1,139,24427106
LatencyTime,1,140,27692578
ServiceTime,1,140,27104887
LatencyTime,1,141,26464605
ServiceTime,1,141,26010914
LatencyTime,1,142,27019645
ServiceTime,1,142,26540796
LatencyTime,1,143,28819778
ServiceTime,1,143,28301459
LatencyTime,1,144,26488850
ServiceTime,1,144,25292535
LatencyTime,1,145,27105746
ServiceTime,1,145,26514656
LatencyTime,1,146,27629409
ServiceTime,1,146,27130609
LatencyTime,1,147,28535518
ServiceTime,1,147,28019364
LatencyTime,1,148,27741196
ServiceTime,1,148,27185035
LatencyTime,1,149,24497470
ServiceTime,1,149,24052485
LatencyTime,1,150,28134380
ServiceTime,1,150,27660516
LatencyTime,1,151,27742022
ServiceTime,1,151,27306455
LatencyTime,1,152,25026141
ServiceTime,1,152,24536686
LatencyTime,1,153,25474366
ServiceTime,1,153,24905356
LatencyTime,1,154,27406495
ServiceTime,1,154,26967843
LatencyTime,1,155,28040903
ServiceTime,1,155,25435512
LatencyTime,1,156,26558114
ServiceTime,1,156,26024292
LatencyTime,1,157,32992243
ServiceTime,1,157,32374774
LatencyTime,1,158,24542196
ServiceTime,1,158,23993770
LatencyTime,1,159,28161367
ServiceTime,1,159,27625357
LatencyTime,1,160,26592196
ServiceTime,1,160,25417360
LatencyTime,1,161,23598871
ServiceTime,1,161,23142097
LatencyTime,1,162,22567684
ServiceTime,1,162,22187630
LatencyTime,1,163,24398476
ServiceTime,1,163,23920197
LatencyTime,1,164,29309291
ServiceTime,1,164,28369867
LatencyTime,1,165,22925699
ServiceTime,1,165,22275016
LatencyTime,1,166,24700077
ServiceTime,1,166,23807388
LatencyTime,1,167,24801446
ServiceTime,1,167,24280533
LatencyTime,1,168,24143005
ServiceTime,1,168,23630311
LatencyTime,1,169,28119845
ServiceTime,1,169,27536825
LatencyTime,1,170,27984551
ServiceTime,1,170,27456070
LatencyTime,1,171,24779932
ServiceTime,1,171,24266904
LatencyTime,1,172,25219678
ServiceTime,1,172,24647518
LatencyTime,1,173,23436609
ServiceTime,1,173,22840367
LatencyTime,1,174,24406692
ServiceTime,1,174,23944366
LatencyTime,1,175,23597862
ServiceTime,1,175,23047143
LatencyTime,1,176,24953585
ServiceTime,1,176,24477397
LatencyTime,1,177,25735599
ServiceTime,1,177,25249548
LatencyTime,1,178,26225834
ServiceTime,1,178,25405137
LatencyTime,1,179,25771685
ServiceTime,1,179,24384244
LatencyTime,1,180,25221116
ServiceTime,1,180,24752588
LatencyTime,1,181,28923814
ServiceTime,1,181,27933992
LatencyTime,1,182,25385750
ServiceTime,1,182,24662853
LatencyTime,1,183,22646777
ServiceTime,1,183,22213661
LatencyTime,1,184,25778944
ServiceTime,1,184,25091283
LatencyTime,1,185,22257397
ServiceTime,1,185,21737355
LatencyTime,1,186,23700902
ServiceTime,1,186,23191034
LatencyTime,1,187,33105979
ServiceTime,1,187,32559558
LatencyTime,1,188,30878349
ServiceTime,1,188,30427422
LatencyTime,1,189,25680032
ServiceTime,1,189,25118682
LatencyTime,1,190,28948586
ServiceTime,1,190,28407627
LatencyTime,1,191,31431630
ServiceTime,1,191,30844737
LatencyTime,1,192,33298955
ServiceTime,1,192,32755217
LatencyTime,1,193,28899378
ServiceTime,1,193,28458857
LatencyTime,1,194,28120797
ServiceTime,1,194,27560058
LatencyTime,1,195,31215705
ServiceTime,1,195,30776256
LatencyTime,1,196,28450188
ServiceTime,1,196,27997775
LatencyTime,1,197,32236949
ServiceTime,1,197,31775716
LatencyTime,1,198,7940962856
ServiceTime,1,198,7939917030
LatencyTime,1,199,10973607
ServiceTime,1,199,9329879
MainEntry,2,0,6957474877483516
MainExit,2,0,6957474892485991
Ready2Serve,2,0,6957474904670660
RuntimeReadyTime,2,0,107904004
ServiceTime,2,0,1644415921
LatencyTime,2,0,1752319925
LatencyTime,2,1,117958000
ServiceTime,2,1,115511693
LatencyTime,2,2,104422460
ServiceTime,2,2,104074641
LatencyTime,2,3,124025472
ServiceTime,2,3,123592556
LatencyTime,2,4,106786655
ServiceTime,2,4,106450099
LatencyTime,2,5,108511860
ServiceTime,2,5,108170250
LatencyTime,2,6,101922417
ServiceTime,2,6,101518440
LatencyTime,2,7,100822002
ServiceTime,2,7,100365571
LatencyTime,2,8,401434563
ServiceTime,2,8,400953110
LatencyTime,2,9,188498665
ServiceTime,2,9,188028313
LatencyTime,2,10,24834184
ServiceTime,2,10,24287917
LatencyTime,2,11,23270061
