Metric,ExecID,ReqID,Value
MainEntry,1,0,7038008187015901
MainExit,1,0,7038008201552023
Ready2Serve,1,0,7038010997465772
RuntimeReadyTime,1,0,64601303
ServiceTime,1,0,143883306
LatencyTime,1,0,208484609
LatencyTime,1,1,154418561
ServiceTime,1,1,152558954
LatencyTime,1,2,153218491
ServiceTime,1,2,152812758
LatencyTime,1,3,146595357
ServiceTime,1,3,145181617
LatencyTime,1,4,133218588
ServiceTime,1,4,132967464
LatencyTime,1,5,127000521
ServiceTime,1,5,126603325
LatencyTime,1,6,130064460
ServiceTime,1,6,129708076
LatencyTime,1,7,467838677
ServiceTime,1,7,467340301
LatencyTime,1,8,247920307
ServiceTime,1,8,247469189
LatencyTime,1,9,24991496
ServiceTime,1,9,24465394
LatencyTime,1,10,26047546
ServiceTime,1,10,25554408
LatencyTime,1,11,43243591
ServiceTime,1,11,42870301
LatencyTime,1,12,23764383
ServiceTime,1,12,23440566
LatencyTime,1,13,22512401
ServiceTime,1,13,22080797
LatencyTime,1,14,22201874
ServiceTime,1,14,21982859
LatencyTime,1,15,24937374
ServiceTime,1,15,24567571
LatencyTime,1,16,23556263
ServiceTime,1,16,23137781
LatencyTime,1,17,25338465
ServiceTime,1,17,24919731
LatencyTime,1,18,24810565
ServiceTime,1,18,24393840
LatencyTime,1,19,23484754
ServiceTime,1,19,23053492
LatencyTime,1,20,32125195
ServiceTime,1,20,31589875
LatencyTime,1,21,29662497
ServiceTime,1,21,29164747
LatencyTime,1,22,28153681
ServiceTime,1,22,27720289
LatencyTime,1,23,29229648
ServiceTime,1,23,28780104
LatencyTime,1,24,30186622
ServiceTime,1,24,29518102
LatencyTime,1,25,30964401
ServiceTime,1,25,29694988
LatencyTime,1,26,30064289
ServiceTime,1,26,29446559
LatencyTime,1,27,30513194
ServiceTime,1,27,30001959
LatencyTime,1,28,36091446
ServiceTime,1,28,35480754
LatencyTime,1,29,29496576
ServiceTime,1,29,28933385
LatencyTime,1,30,24471772
ServiceTime,1,30,23822255
LatencyTime,1,31,23392910
ServiceTime,1,31,22884078
LatencyTime,1,32,24837775
ServiceTime,1,32,24393629
LatencyTime,1,33,27094013
ServiceTime,1,33,26111277
LatencyTime,1,34,28987239
ServiceTime,1,34,28507844
LatencyTime,1,35,23779716
ServiceTime,1,35,23301367
LatencyTime,1,36,35727251
ServiceTime,1,36,35515911
LatencyTime,1,37,33214099
ServiceTime,1,37,32941075
LatencyTime,1,38,28494789
ServiceTime,1,38,28041346
LatencyTime,1,39,36774262
ServiceTime,1,39,36545504
LatencyTime,1,40,34641117
ServiceTime,1,40,34230934
LatencyTime,1,41,28704747
ServiceTime,1,41,28215869
LatencyTime,1,42,29942545
ServiceTime,1,42,29497501
LatencyTime,1,43,28782064
ServiceTime,1,43,28379357
LatencyTime,1,44,33097992
ServiceTime,1,44,32564896
LatencyTime,1,45,28921260
ServiceTime,1,45,28374229
LatencyTime,1,46,29408953
ServiceTime,1,46,28912783
LatencyTime,1,47,29023090
ServiceTime,1,47,28594534
LatencyTime,1,48,31367431
ServiceTime,1,48,30211939
LatencyTime,1,49,32175807
ServiceTime,1,49,31693339
LatencyTime,1,50,35753616
ServiceTime,1,50,34059794
LatencyTime,1,51,29511114
ServiceTime,1,51,29001857
LatencyTime,1,52,29482783
ServiceTime,1,52,28954071
LatencyTime,1,53,29664229
ServiceTime,1,53,29200284
LatencyTime,1,54,30633561
ServiceTime,1,54,30121151
LatencyTime,1,55,29603205
ServiceTime,1,55,29049508
LatencyTime,1,56,35715281
ServiceTime,1,56,35264868
LatencyTime,1,57,37499404
ServiceTime,1,57,37026735
LatencyTime,1,58,28445338
ServiceTime,1,58,27911317
LatencyTime,1,59,26338774
ServiceTime,1,59,25901786
LatencyTime,1,60,25040612
ServiceTime,1,60,24628316
LatencyTime,1,61,29154902
ServiceTime,1,61,28722207
LatencyTime,1,62,29615739
ServiceTime,1,62,29232453
LatencyTime,1,63,28133906
ServiceTime,1,63,27775835
LatencyTime,1,64,29548852
ServiceTime,1,64,29149405
LatencyTime,1,65,28346399
ServiceTime,1,65,27812285
LatencyTime,1,66,26513158
ServiceTime,1,66,26039246
LatencyTime,1,67,29571178
ServiceTime,1,67,29033722
