Metric,ExecID,ReqID,Value
MainEntry,1,0,1430172538284493
MainExit,1,0,1430172566235737
Ready2Serve,1,0,1430173690954754
RuntimeReadyTime,1,0,24780933
ServiceTime,1,0,71986542
LatencyTime,1,0,96767475
LatencyTime,1,1,39698064
ServiceTime,1,1,39211066
LatencyTime,1,2,34887810
ServiceTime,1,2,34268871
LatencyTime,1,3,34297395
ServiceTime,1,3,34008177
LatencyTime,1,4,33884749
ServiceTime,1,4,33357109
LatencyTime,1,5,38448556
ServiceTime,1,5,37905674
LatencyTime,1,6,29955239
ServiceTime,1,6,29466044
LatencyTime,1,7,24574505
ServiceTime,1,7,23848441
LatencyTime,1,8,30753694
ServiceTime,1,8,30344177
LatencyTime,1,9,39151765
ServiceTime,1,9,38545305
LatencyTime,1,10,30382533
ServiceTime,1,10,29638060
LatencyTime,1,11,24160969
ServiceTime,1,11,23898276
LatencyTime,1,12,33950119
ServiceTime,1,12,33695603
LatencyTime,1,13,45370733
ServiceTime,1,13,45165312
LatencyTime,1,14,29381671
ServiceTime,1,14,29244288
LatencyTime,1,15,29059747
ServiceTime,1,15,28855912
LatencyTime,1,16,36729860
ServiceTime,1,16,36336222
LatencyTime,1,17,29999621
ServiceTime,1,17,29617816
LatencyTime,1,18,41675958
ServiceTime,1,18,41221021
LatencyTime,1,19,27251042
ServiceTime,1,19,27050859
LatencyTime,1,20,29423711
ServiceTime,1,20,28940676
LatencyTime,1,21,24709224
ServiceTime,1,21,24396270
LatencyTime,1,22,23086359
ServiceTime,1,22,22701810
LatencyTime,1,23,25589886
ServiceTime,1,23,25179741
LatencyTime,1,24,22842591
ServiceTime,1,24,22462475
LatencyTime,1,25,28502657
ServiceTime,1,25,27991169
LatencyTime,1,26,28624677
ServiceTime,1,26,27818243
LatencyTime,1,27,21708132
ServiceTime,1,27,21315093
LatencyTime,1,28,22228417
ServiceTime,1,28,21823382
LatencyTime,1,29,22445932
ServiceTime,1,29,22047467
LatencyTime,1,30,24437810
ServiceTime,1,30,24082308
LatencyTime,1,31,21442438
ServiceTime,1,31,20722109
LatencyTime,1,32,22296701
ServiceTime,1,32,21816942
LatencyTime,1,33,23964181
ServiceTime,1,33,23520235
LatencyTime,1,34,21295727
ServiceTime,1,34,20781196
LatencyTime,1,35,19483657
ServiceTime,1,35,19066283
LatencyTime,1,36,21724168
ServiceTime,1,36,21343060
LatencyTime,1,37,20078150
ServiceTime,1,37,19609723
LatencyTime,1,38,21305386
ServiceTime,1,38,20174370
LatencyTime,1,39,24631057
ServiceTime,1,39,24206773
LatencyTime,1,40,22206579
ServiceTime,1,40,21846647
LatencyTime,1,41,25330317
ServiceTime,1,41,25091320
LatencyTime,1,42,20758610
ServiceTime,1,42,20572467
LatencyTime,1,43,22974441
ServiceTime,1,43,22651027
LatencyTime,1,44,21165699
ServiceTime,1,44,20788903
LatencyTime,1,45,23853519
ServiceTime,1,45,23544904
LatencyTime,1,46,19425733
ServiceTime,1,46,19028255
LatencyTime,1,47,22090926
ServiceTime,1,47,21958763
LatencyTime,1,48,21108240
ServiceTime,1,48,20809238
LatencyTime,1,49,21140986
ServiceTime,1,49,20735077
LatencyTime,1,50,22614308
ServiceTime,1,50,22301665
LatencyTime,1,51,23476187
ServiceTime,1,51,23062249
LatencyTime,1,52,33076258
ServiceTime,1,52,32605510
LatencyTime,1,53,32872190
ServiceTime,1,53,32083755
LatencyTime,1,54,29548910
ServiceTime,1,54,29070441
LatencyTime,1,55,21570691
ServiceTime,1,55,21074243
LatencyTime,1,56,22891736
ServiceTime,1,56,22460240
LatencyTime,1,57,27882318
ServiceTime,1,57,27379280
LatencyTime,1,58,27676912
ServiceTime,1,58,27252709
LatencyTime,1,59,27622970
ServiceTime,1,59,27389257
LatencyTime,1,60,25411871
ServiceTime,1,60,24777068
LatencyTime,1,61,29144991
ServiceTime,1,61,28863118
LatencyTime,1,62,30904928
ServiceTime,1,62,30460748
LatencyTime,1,63,33449409
ServiceTime,1,63,32974869
LatencyTime,1,64,25873761
ServiceTime,1,64,25279264
LatencyTime,1,65,26062386
ServiceTime,1,65,25533908
LatencyTime,1,66,29508735
ServiceTime,1,66,29138000
LatencyTime,1,67,26453527
ServiceTime,1,67,26043418
LatencyTime,1,68,25298725
ServiceTime,1,68,24786122
LatencyTime,1,69,32630908
ServiceTime,1,69,32130546
LatencyTime,1,70,42368961
ServiceTime,1,70,41837797
LatencyTime,1,71,24732281
ServiceTime,1,71,24314998
LatencyTime,1,72,24314765
ServiceTime,1,72,23962415
LatencyTime,1,73,22673189
ServiceTime,1,73,22470554
LatencyTime,1,74,26412446
ServiceTime,1,74,25952973
LatencyTime,1,75,24426958
ServiceTime,1,75,23983851
LatencyTime,1,76,23963895
ServiceTime,1,76,23696724
LatencyTime,1,77,25226545
ServiceTime,1,77,24966315
LatencyTime,1,78,31423176
ServiceTime,1,78,30726439
LatencyTime,1,79,26822230
ServiceTime,1,79,26613722
LatencyTime,1,80,23543880
ServiceTime,1,80,22867051
LatencyTime,1,81,26794154
ServiceTime,1,81,26326041
LatencyTime,1,82,26909073
ServiceTime,1,82,26406054
LatencyTime,1,83,26090729
ServiceTime,1,83,25474258
LatencyTime,1,84,25342857
ServiceTime,1,84,24932502
LatencyTime,1,85,27536925
ServiceTime,1,85,27098342
LatencyTime,1,86,22545652
ServiceTime,1,86,22158606
LatencyTime,1,87,31935194
ServiceTime,1,87,31714874
LatencyTime,1,88,27283770
ServiceTime,1,88,26997659
LatencyTime,1,89,22647698
ServiceTime,1,89,22451190
LatencyTime,1,90,25759673
ServiceTime,1,90,25390415
LatencyTime,1,91,29044538
ServiceTime,1,91,28767436
LatencyTime,1,92,25864410
ServiceTime,1,92,25366399
LatencyTime,1,93,28901666
ServiceTime,1,93,28573158
LatencyTime,1,94,26210620
ServiceTime,1,94,25900029
LatencyTime,1,95,26506590
ServiceTime,1,95,26012184
LatencyTime,1,96,28231132
ServiceTime,1,96,27754512
LatencyTime,1,97,26892518
ServiceTime,1,97,26401266
LatencyTime,1,98,29233314
ServiceTime,1,98,28706298
LatencyTime,1,99,23919688
ServiceTime,1,99,23774406
LatencyTime,1,100,22774802
ServiceTime,1,100,22448660
LatencyTime,1,101,24611024
ServiceTime,1,101,24212157
LatencyTime,1,102,28336590
ServiceTime,1,102,27486752
LatencyTime,1,103,33162532
ServiceTime,1,103,30634251
LatencyTime,1,104,26020216
ServiceTime,1,104,25544758
LatencyTime,1,105,26514058
ServiceTime,1,105,26197945
LatencyTime,1,106,20570139
ServiceTime,1,106,20156588
LatencyTime,1,107,21413925
ServiceTime,1,107,21024832
LatencyTime,1,108,27857344
ServiceTime,1,108,27502118
LatencyTime,1,109,26366301
ServiceTime,1,109,26162068
LatencyTime,1,110,20369583
ServiceTime,1,110,20050387
LatencyTime,1,111,27938687
ServiceTime,1,111,27721920
LatencyTime,1,112,21271227
ServiceTime,1,112,20926995
LatencyTime,1,113,20982066
ServiceTime,1,113,20649903
LatencyTime,1,114,21593272
ServiceTime,1,114,21178754
LatencyTime,1,115,20633075
ServiceTime,1,115,20328103
LatencyTime,1,116,22619952
ServiceTime,1,116,22257552
LatencyTime,1,117,27194795
ServiceTime,1,117,26874576
LatencyTime,1,118,30138317
ServiceTime,1,118,29903480
LatencyTime,1,119,25794804
ServiceTime,1,119,25353557
LatencyTime,1,120,23437614
ServiceTime,1,120,23096583
LatencyTime,1,121,24888311
ServiceTime,1,121,24482854
LatencyTime,1,122,28998436
ServiceTime,1,122,28403706
LatencyTime,1,123,26294213
ServiceTime,1,123,25972836
LatencyTime,1,124,21948583
ServiceTime,1,124,21625970
LatencyTime,1,125,25937478
ServiceTime,1,125,25559772
LatencyTime,1,126,25435289
ServiceTime,1,126,25282946
LatencyTime,1,127,20881381
ServiceTime,1,127,20595855
LatencyTime,1,128,20449750
ServiceTime,1,128,20062652
LatencyTime,1,129,26138106
ServiceTime,1,129,25930144
LatencyTime,1,130,23853385
ServiceTime,1,130,22806033
LatencyTime,1,131,21562076
ServiceTime,1,131,21153279
LatencyTime,1,132,21580395
ServiceTime,1,132,21281264
LatencyTime,1,133,25222463
ServiceTime,1,133,24876656
LatencyTime,1,134,21030793
ServiceTime,1,134,20879441
LatencyTime,1,135,28070388
