Metric,ExecID,ReqID,Value
MainEntry,1,0,823902738833329
MainExit,1,0,823902758769862
Ready2Serve,1,0,823902768869520
RuntimeReadyTime,1,0,107044875
ServiceTime,1,0,181772261
LatencyTime,1,0,288817136
LatencyTime,1,1,76205201
ServiceTime,1,1,73882756
LatencyTime,1,2,34402530
ServiceTime,1,2,33896389
LatencyTime,1,3,36498034
ServiceTime,1,3,36017446
LatencyTime,1,4,31892154
ServiceTime,1,4,31348490
LatencyTime,1,5,46728775
ServiceTime,1,5,45342947
LatencyTime,1,6,29016580
ServiceTime,1,6,28502492
LatencyTime,1,7,29582043
ServiceTime,1,7,29097156
LatencyTime,1,8,33906740
ServiceTime,1,8,33348415
LatencyTime,1,9,35205533
ServiceTime,1,9,34573765
LatencyTime,1,10,37056518
ServiceTime,1,10,36648959
LatencyTime,1,11,29367402
ServiceTime,1,11,28876825
LatencyTime,1,12,30904612
ServiceTime,1,12,30496511
LatencyTime,1,13,29953073
ServiceTime,1,13,29560313
LatencyTime,1,14,49917769
ServiceTime,1,14,49352045
LatencyTime,1,15,28995178
ServiceTime,1,15,28598707
LatencyTime,1,16,30228843
ServiceTime,1,16,29738669
LatencyTime,1,17,30597249
ServiceTime,1,17,30205690
LatencyTime,1,18,30779933
ServiceTime,1,18,30195422
LatencyTime,1,19,33022424
ServiceTime,1,19,32354864
LatencyTime,1,20,28620329
ServiceTime,1,20,28232595
LatencyTime,1,21,24159967
ServiceTime,1,21,23622513
LatencyTime,1,22,27078206
ServiceTime,1,22,26613158
LatencyTime,1,23,27881174
ServiceTime,1,23,27424724
LatencyTime,1,24,24252328
ServiceTime,1,24,23776557
LatencyTime,1,25,24905197
ServiceTime,1,25,24528502
LatencyTime,1,26,26589652
ServiceTime,1,26,26080706
LatencyTime,1,27,20877018
ServiceTime,1,27,20408949
LatencyTime,1,28,26508270
ServiceTime,1,28,26003115
LatencyTime,1,29,22222346
ServiceTime,1,29,21666148
LatencyTime,1,30,23399786
ServiceTime,1,30,22956518
LatencyTime,1,31,23919859
ServiceTime,1,31,23540440
LatencyTime,1,32,23574935
ServiceTime,1,32,23187331
LatencyTime,1,33,31185056
ServiceTime,1,33,30460808
LatencyTime,1,34,23301392
ServiceTime,1,34,22835311
LatencyTime,1,35,30574926
ServiceTime,1,35,30070961
LatencyTime,1,36,27204840
ServiceTime,1,36,26681031
LatencyTime,1,37,26866601
ServiceTime,1,37,26409926
LatencyTime,1,38,25050995
ServiceTime,1,38,24579803
LatencyTime,1,39,22976387
ServiceTime,1,39,22571851
LatencyTime,1,40,21921139
ServiceTime,1,40,21550823
LatencyTime,1,41,31033205
ServiceTime,1,41,30296122
LatencyTime,1,42,25087079
ServiceTime,1,42,24667242
LatencyTime,1,43,26537610
ServiceTime,1,43,26144780
LatencyTime,1,44,26731396
ServiceTime,1,44,26245359
LatencyTime,1,45,28014332
ServiceTime,1,45,27417090
LatencyTime,1,46,28700095
ServiceTime,1,46,28239323
LatencyTime,1,47,24116005
ServiceTime,1,47,23689985
LatencyTime,1,48,26176157
ServiceTime,1,48,25646221
LatencyTime,1,49,23086116
ServiceTime,1,49,22666850
LatencyTime,1,50,25414625
ServiceTime,1,50,24900671
LatencyTime,1,51,30910078
ServiceTime,1,51,30301662
LatencyTime,1,52,30406641
ServiceTime,1,52,29908212
LatencyTime,1,53,25497333
ServiceTime,1,53,25004187
LatencyTime,1,54,26320152
ServiceTime,1,54,25774293
LatencyTime,1,55,25867263
ServiceTime,1,55,25367968
LatencyTime,1,56,22878766
ServiceTime,1,56,22438067
LatencyTime,1,57,24716414
ServiceTime,1,57,24190176
LatencyTime,1,58,24246022
ServiceTime,1,58,23828728
LatencyTime,1,59,26894013
ServiceTime,1,59,25819468
LatencyTime,1,60,26608191
ServiceTime,1,60,25905454
LatencyTime,1,61,29461031
ServiceTime,1,61,28932808
LatencyTime,1,62,21405285
ServiceTime,1,62,21004183
LatencyTime,1,63,24663142
ServiceTime,1,63,24196926
LatencyTime,1,64,26725786
ServiceTime,1,64,26243877
LatencyTime,1,65,26205657
ServiceTime,1,65,25780540
LatencyTime,1,66,25869537
ServiceTime,1,66,25435825
LatencyTime,1,67,26366715
ServiceTime,1,67,25659475
LatencyTime,1,68,25143504
ServiceTime,1,68,24713847
LatencyTime,1,69,23154748
ServiceTime,1,69,22692800
LatencyTime,1,70,25812454
ServiceTime,1,70,25421854
LatencyTime,1,71,24908395
ServiceTime,1,71,24427642
LatencyTime,1,72,22639188
ServiceTime,1,72,22250373
LatencyTime,1,73,29905029
ServiceTime,1,73,29456841
LatencyTime,1,74,28050678
ServiceTime,1,74,27559058
LatencyTime,1,75,22468082
ServiceTime,1,75,21861430
LatencyTime,1,76,28912737
ServiceTime,1,76,28448782
LatencyTime,1,77,29836115
ServiceTime,1,77,29372758
LatencyTime,1,78,25884419
ServiceTime,1,78,25486176
LatencyTime,1,79,24233468
ServiceTime,1,79,23855012
LatencyTime,1,80,25267431
ServiceTime,1,80,24903044
LatencyTime,1,81,25442452
ServiceTime,1,81,25044156
LatencyTime,1,82,29318267
ServiceTime,1,82,28793390
LatencyTime,1,83,24191378
ServiceTime,1,83,23755620
