Metric,ExecID,ReqID,Value
MainEntry,1,0,2030597772698144
MainExit,1,0,2030597792578770
Ready2Serve,1,0,2030599031734752
RuntimeReadyTime,1,0,31943226
ServiceTime,1,0,45284952
LatencyTime,1,0,77228178
LatencyTime,1,1,47093941
ServiceTime,1,1,46142246
LatencyTime,1,2,36140314
ServiceTime,1,2,35448437
LatencyTime,1,3,30498130
ServiceTime,1,3,29711283
LatencyTime,1,4,40850166
ServiceTime,1,4,40293050
LatencyTime,1,5,32384793
ServiceTime,1,5,31989930
LatencyTime,1,6,27880110
ServiceTime,1,6,27331454
LatencyTime,1,7,28524698
ServiceTime,1,7,27811146
LatencyTime,1,8,30506238
ServiceTime,1,8,29921946
LatencyTime,1,9,32790252
ServiceTime,1,9,32327410
LatencyTime,1,10,23942775
ServiceTime,1,10,23313566
LatencyTime,1,11,27347655
ServiceTime,1,11,26910370
LatencyTime,1,12,32469428
ServiceTime,1,12,32066925
LatencyTime,1,13,40970979
ServiceTime,1,13,40176504
LatencyTime,1,14,33479275
ServiceTime,1,14,33010016
LatencyTime,1,15,29231418
ServiceTime,1,15,28854141
LatencyTime,1,16,30422748
ServiceTime,1,16,30057403
LatencyTime,1,17,22669118
ServiceTime,1,17,22042507
LatencyTime,1,18,27839263
ServiceTime,1,18,27494337
LatencyTime,1,19,25368113
ServiceTime,1,19,24934384
LatencyTime,1,20,27803461
ServiceTime,1,20,27456348
LatencyTime,1,21,29158104
ServiceTime,1,21,28730961
LatencyTime,1,22,21788284
ServiceTime,1,22,21259974
LatencyTime,1,23,22981308
ServiceTime,1,23,22383917
LatencyTime,1,24,25056470
ServiceTime,1,24,24596767
LatencyTime,1,25,19449750
ServiceTime,1,25,18746276
LatencyTime,1,26,20208338
ServiceTime,1,26,19857872
LatencyTime,1,27,21032783
ServiceTime,1,27,20741719
LatencyTime,1,28,22948534
ServiceTime,1,28,22227093
LatencyTime,1,29,20459708
ServiceTime,1,29,20061426
LatencyTime,1,30,23885282
ServiceTime,1,30,23383059
LatencyTime,1,31,21956574
ServiceTime,1,31,21565954
LatencyTime,1,32,23695703
ServiceTime,1,32,23265529
LatencyTime,1,33,22444363
ServiceTime,1,33,21909174
LatencyTime,1,34,23084747
ServiceTime,1,34,22605563
LatencyTime,1,35,25188336
ServiceTime,1,35,24789608
LatencyTime,1,36,22125650
ServiceTime,1,36,21702679
LatencyTime,1,37,21231895
ServiceTime,1,37,20768591
LatencyTime,1,38,19648151
ServiceTime,1,38,19231817
LatencyTime,1,39,21587752
ServiceTime,1,39,21068342
LatencyTime,1,40,18331112
ServiceTime,1,40,17935345
LatencyTime,1,41,24146171
ServiceTime,1,41,23765852
LatencyTime,1,42,21623911
ServiceTime,1,42,21323597
LatencyTime,1,43,19863362
ServiceTime,1,43,19479453
LatencyTime,1,44,17797599
ServiceTime,1,44,17432649
LatencyTime,1,45,19054660
ServiceTime,1,45,18339915
LatencyTime,1,46,18440662
ServiceTime,1,46,18098764
LatencyTime,1,47,18851621
ServiceTime,1,47,18448201
LatencyTime,1,48,20854568
ServiceTime,1,48,20461147
LatencyTime,1,49,25724249
ServiceTime,1,49,25329957
LatencyTime,1,50,22587645
ServiceTime,1,50,22370883
LatencyTime,1,51,36338124
ServiceTime,1,51,35497608
LatencyTime,1,52,24486227
ServiceTime,1,52,24120199
LatencyTime,1,53,25081726
ServiceTime,1,53,24596473
LatencyTime,1,54,24848921
ServiceTime,1,54,24542605
LatencyTime,1,55,22295002
ServiceTime,1,55,21994112
LatencyTime,1,56,21843550
ServiceTime,1,56,21460199
LatencyTime,1,57,26030937
ServiceTime,1,57,25563323
LatencyTime,1,58,24284617
ServiceTime,1,58,23895466
LatencyTime,1,59,24327938
ServiceTime,1,59,23925967
LatencyTime,1,60,25439136
ServiceTime,1,60,24989440
LatencyTime,1,61,22295868
ServiceTime,1,61,21890063
LatencyTime,1,62,21621819
ServiceTime,1,62,21220862
LatencyTime,1,63,23154548
ServiceTime,1,63,22159922
LatencyTime,1,64,28114868
ServiceTime,1,64,27554697
LatencyTime,1,65,30205627
ServiceTime,1,65,29786578
LatencyTime,1,66,26057952
ServiceTime,1,66,25576902
LatencyTime,1,67,22418043
ServiceTime,1,67,22039684
LatencyTime,1,68,21404805
ServiceTime,1,68,20936942
LatencyTime,1,69,28044292
ServiceTime,1,69,27462742
LatencyTime,1,70,25316809
ServiceTime,1,70,24895102
LatencyTime,1,71,22382608
ServiceTime,1,71,21976709
LatencyTime,1,72,27488449
ServiceTime,1,72,27062733
LatencyTime,1,73,24719760
ServiceTime,1,73,24325703
LatencyTime,1,74,23612364
ServiceTime,1,74,23139978
LatencyTime,1,75,27163929
ServiceTime,1,75,26634938
LatencyTime,1,76,23243241
ServiceTime,1,76,22875066
LatencyTime,1,77,25863440
ServiceTime,1,77,25440146
LatencyTime,1,78,25506851
ServiceTime,1,78,25132076
LatencyTime,1,79,23356505
ServiceTime,1,79,22892215
LatencyTime,1,80,25764756
ServiceTime,1,80,25341647
LatencyTime,1,81,23798526
ServiceTime,1,81,23411914
LatencyTime,1,82,23871056
ServiceTime,1,82,23531859
LatencyTime,1,83,20970247
ServiceTime,1,83,20550308
LatencyTime,1,84,34531734
ServiceTime,1,84,34113873
LatencyTime,1,85,22193320
ServiceTime,1,85,21812876
LatencyTime,1,86,30224625
ServiceTime,1,86,29757553
LatencyTime,1,87,25302413
ServiceTime,1,87,24973165
LatencyTime,1,88,21851890
ServiceTime,1,88,21328701
LatencyTime,1,89,28107148
ServiceTime,1,89,27664401
LatencyTime,1,90,22672556
ServiceTime,1,90,22206047
LatencyTime,1,91,24172800
ServiceTime,1,91,23794903
LatencyTime,1,92,27449701
ServiceTime,1,92,26128722
LatencyTime,1,93,23239983
ServiceTime,1,93,22804014
LatencyTime,1,94,24994629
ServiceTime,1,94,24616531
LatencyTime,1,95,24505888
ServiceTime,1,95,24077682
LatencyTime,1,96,21987382
ServiceTime,1,96,21617683
LatencyTime,1,97,20735027
ServiceTime,1,97,20310944
LatencyTime,1,98,23369798
ServiceTime,1,98,22880205
LatencyTime,1,99,27858309
ServiceTime,1,99,27339478
LatencyTime,1,100,21811173
ServiceTime,1,100,21371004
LatencyTime,1,101,23457138
ServiceTime,1,101,23042879
LatencyTime,1,102,30215785
ServiceTime,1,102,29565378
LatencyTime,1,103,24186245
ServiceTime,1,103,23664258
LatencyTime,1,104,24643981
ServiceTime,1,104,24052287
LatencyTime,1,105,27009253
ServiceTime,1,105,26559586
LatencyTime,1,106,22912021
ServiceTime,1,106,22340090
LatencyTime,1,107,21157183
ServiceTime,1,107,20669999
LatencyTime,1,108,26275540
ServiceTime,1,108,25837063
LatencyTime,1,109,30801621
ServiceTime,1,109,30367054
LatencyTime,1,110,26569840
ServiceTime,1,110,26097035
LatencyTime,1,111,28478375
ServiceTime,1,111,27983994
LatencyTime,1,112,24307793
ServiceTime,1,112,23876442
LatencyTime,1,113,22352405
ServiceTime,1,113,21909587
LatencyTime,1,114,24457897
ServiceTime,1,114,24089985
LatencyTime,1,115,27997246
ServiceTime,1,115,27669887
LatencyTime,1,116,24421118
ServiceTime,1,116,24052352
LatencyTime,1,117,24936908
ServiceTime,1,117,24559167
LatencyTime,1,118,21123776
ServiceTime,1,118,20789947
LatencyTime,1,119,29973556
ServiceTime,1,119,29596915
LatencyTime,1,120,23756020
ServiceTime,1,120,23405182
LatencyTime,1,121,26297418
ServiceTime,1,121,25854362
LatencyTime,1,122,19706441
ServiceTime,1,122,19331415
LatencyTime,1,123,24205311
ServiceTime,1,123,23811507
LatencyTime,1,124,20664743
ServiceTime,1,124,20316386
LatencyTime,1,125,28569253
ServiceTime,1,125,28138716
LatencyTime,1,126,23729854
ServiceTime,1,126,23358874
LatencyTime,1,127,25709586
ServiceTime,1,127,25245030
LatencyTime,1,128,25704183
ServiceTime,1,128,25177900
LatencyTime,1,129,23541216
ServiceTime,1,129,23121282
LatencyTime,1,130,22221852
ServiceTime,1,130,21813038
LatencyTime,1,131,27470191
ServiceTime,1,131,27061288
LatencyTime,1,132,25995794
ServiceTime,1,132,25520510
LatencyTime,1,133,22439522
ServiceTime,1,133,22069510
LatencyTime,1,134,24614604
ServiceTime,1,134,24213091
LatencyTime,1,135,25539564
ServiceTime,1,135,25124672
LatencyTime,1,136,25843164
ServiceTime,1,136,25407190
LatencyTime,1,137,23756686
ServiceTime,1,137,23343611
LatencyTime,1,138,24862499
ServiceTime,1,138,24420852
LatencyTime,1,139,23900688
ServiceTime,1,139,23491578
LatencyTime,1,140,22227080
ServiceTime,1,140,21809824
LatencyTime,1,141,25536575
ServiceTime,1,141,25158872
LatencyTime,1,142,21544719
ServiceTime,1,142,21099567
LatencyTime,1,143,21417216
ServiceTime,1,143,21006774
LatencyTime,1,144,24756532
ServiceTime,1,144,24344275
LatencyTime,1,145,20851070
ServiceTime,1,145,20450088
LatencyTime,1,146,22395292
ServiceTime,1,146,21913931
LatencyTime,1,147,23263923
ServiceTime,1,147,22745985
LatencyTime,1,148,21466552
ServiceTime,1,148,21079149
LatencyTime,1,149,20912723
ServiceTime,1,149,20523343
LatencyTime,1,150,27778577
ServiceTime,1,150,27379177
LatencyTime,1,151,23033597
ServiceTime,1,151,22241115
LatencyTime,1,152,21773261
ServiceTime,1,152,21304376
LatencyTime,1,153,27031478
ServiceTime,1,153,26519633
LatencyTime,1,154,28037115
ServiceTime,1,154,27555018
LatencyTime,1,155,20818838
ServiceTime,1,155,20460173
LatencyTime,1,156,25333799
ServiceTime,1,156,24936500
LatencyTime,1,157,24871015
ServiceTime,1,157,24401037
LatencyTime,1,158,28554429
ServiceTime,1,158,28084400
LatencyTime,1,159,23303650
ServiceTime,1,159,22324857
LatencyTime,1,160,19915746
ServiceTime,1,160,19500676
LatencyTime,1,161,24321978
ServiceTime,1,161,24009732
LatencyTime,1,162,25984605
ServiceTime,1,162,25189970
LatencyTime,1,163,20860825
ServiceTime,1,163,20450924
LatencyTime,1,164,25501181
ServiceTime,1,164,25033762
LatencyTime,1,165,23550144
ServiceTime,1,165,22276581
LatencyTime,1,166,25865842
ServiceTime,1,166,25369461
LatencyTime,1,167,22342124
ServiceTime,1,167,21993994
LatencyTime,1,168,22190084
ServiceTime,1,168,21828968
LatencyTime,1,169,25974305
ServiceTime,1,169,25468913
LatencyTime,1,170,22543421
ServiceTime,1,170,22110470
LatencyTime,1,171,28435374
ServiceTime,1,171,28039178
LatencyTime,1,172,24459648
ServiceTime,1,172,23980348
LatencyTime,1,173,26528657
ServiceTime,1,173,25956752
LatencyTime,1,174,22283295
ServiceTime,1,174,21810206
LatencyTime,1,175,19467188
ServiceTime,1,175,19068321
LatencyTime,1,176,20622860
ServiceTime,1,176,20224813
LatencyTime,1,177,23827878
ServiceTime,1,177,23459380
LatencyTime,1,178,22300295
ServiceTime,1,178,21901036
LatencyTime,1,179,21746630
ServiceTime,1,179,21320263
LatencyTime,1,180,23788426
ServiceTime,1,180,23474807
LatencyTime,1,181,24359486
ServiceTime,1,181,23881101
LatencyTime,1,182,24552960
ServiceTime,1,182,24142586
LatencyTime,1,183,24097987
ServiceTime,1,183,23462879
LatencyTime,1,184,24273167
ServiceTime,1,184,23829713
LatencyTime,1,185,24177694
ServiceTime,1,185,23726197
LatencyTime,1,186,22472685
ServiceTime,1,186,21987379
LatencyTime,1,187,25887265
ServiceTime,1,187,24132992
LatencyTime,1,188,22945439
ServiceTime,1,188,22192054
LatencyTime,1,189,24171412
ServiceTime,1,189,23810309
LatencyTime,1,190,19185394
ServiceTime,1,190,18099156
LatencyTime,1,191,17872523
ServiceTime,1,191,17102089
LatencyTime,1,192,28198967
ServiceTime,1,192,27730441
LatencyTime,1,193,20482874
ServiceTime,1,193,20044039
LatencyTime,1,194,20749879
ServiceTime,1,194,20319237
LatencyTime,1,195,22191355
ServiceTime,1,195,21716116
LatencyTime,1,196,20830878
ServiceTime,1,196,20424160
LatencyTime,1,197,20196666
ServiceTime,1,197,19798820
LatencyTime,1,198,23850236
ServiceTime,1,198,23503168
LatencyTime,1,199,22188450
ServiceTime,1,199,21731734
ResolveSharedResourcesTime,1,0,0
ForkingTime,1,0,0
RestoreResourcesTime,1,0,0
SwitchRestoreContinueTime,1,0,27958000
MainEntry,2,0,2030614910226544
MainExit,2,0,2030614929492359
Ready2Serve,2,0,2030616149250781
RuntimeReadyTime,2,0,38476404
ServiceTime,2,0,43454474
LatencyTime,2,0,81930878
LatencyTime,2,1,30694227
ServiceTime,2,1,30526175
LatencyTime,2,2,27759628
ServiceTime,2,2,27280112
LatencyTime,2,3,27527872
ServiceTime,2,3,27245801
LatencyTime,2,4,39514138
ServiceTime,2,4,39027973
LatencyTime,2,5,30267152
ServiceTime,2,5,29923232
LatencyTime,2,6,26512140
ServiceTime,2,6,25851275
LatencyTime,2,7,29930020
ServiceTime,2,7,29588906
LatencyTime,2,8,35820834
ServiceTime,2,8,35081512
LatencyTime,2,9,28947613
ServiceTime,2,9,28584426
LatencyTime,2,10,27078974
ServiceTime,2,10,25718488
LatencyTime,2,11,31312639
ServiceTime,2,11,30857100
LatencyTime,2,12,39802033
ServiceTime,2,12,39518131
LatencyTime,2,13,26526810
ServiceTime,2,13,26149636
LatencyTime,2,14,25727526
ServiceTime,2,14,25308729
LatencyTime,2,15,35098223
ServiceTime,2,15,34730354
LatencyTime,2,16,38136017
ServiceTime,2,16,37717183
LatencyTime,2,17,35491313
ServiceTime,2,17,35081905
LatencyTime,2,18,21789084
ServiceTime,2,18,21404280
LatencyTime,2,19,27060589
ServiceTime,2,19,26104451
LatencyTime,2,20,28068079
ServiceTime,2,20,27682026
LatencyTime,2,21,23471908
ServiceTime,2,21,22978487
LatencyTime,2,22,27709445
ServiceTime,2,22,27209725
LatencyTime,2,23,23672408
ServiceTime,2,23,23097905
LatencyTime,2,24,34583552
ServiceTime,2,24,34099115
LatencyTime,2,25,22946298
ServiceTime,2,25,22317265
LatencyTime,2,26,22919298
ServiceTime,2,26,22483150
LatencyTime,2,27,22012188
ServiceTime,2,27,21584573
LatencyTime,2,28,21509419
ServiceTime,2,28,21122015
LatencyTime,2,29,25027504
ServiceTime,2,29,24455722
LatencyTime,2,30,25390730
ServiceTime,2,30,24453896
LatencyTime,2,31,20950566
ServiceTime,2,31,20535474
LatencyTime,2,32,25131476
ServiceTime,2,32,24800989
LatencyTime,2,33,22420717
ServiceTime,2,33,21832840
LatencyTime,2,34,27182323
ServiceTime,2,34,26696667
LatencyTime,2,35,17533896
ServiceTime,2,35,17045772
LatencyTime,2,36,17786871
ServiceTime,2,36,17370173
LatencyTime,2,37,19043805
ServiceTime,2,37,18661566
LatencyTime,2,38,19164834
ServiceTime,2,38,18795626
LatencyTime,2,39,19021406
ServiceTime,2,39,18648997
LatencyTime,2,40,19090978
