Metric,ExecID,ReqID,Value
MainEntry,1,0,6788554763550528
MainExit,1,0,6788554774986144
Ready2Serve,1,0,6788555906711684
RuntimeReadyTime,1,0,23197529
ServiceTime,1,0,398408316
LatencyTime,1,0,421605845
LatencyTime,1,1,28854805
ServiceTime,1,1,28189615
LatencyTime,1,2,30097913
ServiceTime,1,2,29651023
LatencyTime,1,3,33915591
ServiceTime,1,3,33422680
LatencyTime,1,4,37575554
ServiceTime,1,4,37355037
LatencyTime,1,5,28562003
ServiceTime,1,5,28188973
LatencyTime,1,6,27355716
ServiceTime,1,6,26858760
LatencyTime,1,7,30997621
ServiceTime,1,7,30031037
LatencyTime,1,8,116391819
ServiceTime,1,8,116233137
LatencyTime,1,9,42118481
ServiceTime,1,9,41592420
LatencyTime,1,10,4104445
ServiceTime,1,10,3954709
LatencyTime,1,11,4913469
ServiceTime,1,11,4861217
LatencyTime,1,12,18344459
ServiceTime,1,12,18094783
LatencyTime,1,13,6619331
ServiceTime,1,13,6301203
LatencyTime,1,14,11860376
ServiceTime,1,14,11513167
LatencyTime,1,15,8434311
ServiceTime,1,15,8013151
LatencyTime,1,16,10836234
ServiceTime,1,16,10646239
LatencyTime,1,17,9948400
ServiceTime,1,17,9707707
LatencyTime,1,18,11775048
ServiceTime,1,18,11104234
LatencyTime,1,19,8679732
ServiceTime,1,19,8189857
LatencyTime,1,20,6456084
ServiceTime,1,20,6301496
LatencyTime,1,21,7265305
ServiceTime,1,21,7171929
LatencyTime,1,22,7405001
ServiceTime,1,22,7074653
LatencyTime,1,23,9095147
ServiceTime,1,23,8720086
LatencyTime,1,24,9278763
ServiceTime,1,24,9116596
LatencyTime,1,25,6014962
ServiceTime,1,25,5381004
LatencyTime,1,26,6637092
ServiceTime,1,26,6301108
LatencyTime,1,27,9150399
ServiceTime,1,27,8738347
LatencyTime,1,28,5162676
ServiceTime,1,28,4764501
LatencyTime,1,29,6330342
ServiceTime,1,29,5959171
LatencyTime,1,30,13156395
ServiceTime,1,30,12625137
LatencyTime,1,31,6150714
ServiceTime,1,31,5026822
LatencyTime,1,32,8445024
ServiceTime,1,32,7913563
LatencyTime,1,33,9360107
ServiceTime,1,33,8909467
LatencyTime,1,34,5792588
ServiceTime,1,34,5361840
LatencyTime,1,35,8033911
ServiceTime,1,35,7619132
LatencyTime,1,36,9095851
ServiceTime,1,36,8576796
LatencyTime,1,37,6218209
ServiceTime,1,37,5811209
LatencyTime,1,38,8767501
ServiceTime,1,38,8323914
LatencyTime,1,39,6113982
ServiceTime,1,39,5638865
LatencyTime,1,40,8123192
ServiceTime,1,40,7683410
LatencyTime,1,41,7978805
ServiceTime,1,41,7529827
LatencyTime,1,42,9599584
ServiceTime,1,42,9168937
LatencyTime,1,43,6676242
ServiceTime,1,43,6248120
LatencyTime,1,44,7132410
ServiceTime,1,44,6729799
LatencyTime,1,45,9078211
ServiceTime,1,45,8657799
LatencyTime,1,46,8033918
ServiceTime,1,46,7542080
LatencyTime,1,47,8702649
ServiceTime,1,47,8286898
LatencyTime,1,48,5730602
ServiceTime,1,48,5310708
LatencyTime,1,49,6777762
ServiceTime,1,49,6303545
LatencyTime,1,50,9188864
ServiceTime,1,50,8725866
LatencyTime,1,51,9556249
ServiceTime,1,51,9152772
LatencyTime,1,52,8496452
ServiceTime,1,52,8031571
LatencyTime,1,53,6634730
ServiceTime,1,53,6241457
LatencyTime,1,54,8013349
ServiceTime,1,54,6944957
LatencyTime,1,55,9443810
ServiceTime,1,55,8963600
LatencyTime,1,56,8223124
ServiceTime,1,56,7825643
LatencyTime,1,57,8662206
ServiceTime,1,57,8221582
LatencyTime,1,58,8178140
ServiceTime,1,58,7661546
LatencyTime,1,59,9043756
ServiceTime,1,59,8600644
LatencyTime,1,60,9030828
ServiceTime,1,60,8540001
LatencyTime,1,61,9860194
ServiceTime,1,61,9403349
LatencyTime,1,62,6531872
ServiceTime,1,62,6161101
LatencyTime,1,63,6416152
ServiceTime,1,63,6033026
LatencyTime,1,64,8606545
ServiceTime,1,64,8149982
LatencyTime,1,65,8352457
ServiceTime,1,65,7932632
LatencyTime,1,66,9103223
ServiceTime,1,66,8638035
LatencyTime,1,67,6476220
ServiceTime,1,67,6077945
LatencyTime,1,68,9279694
ServiceTime,1,68,8960960
LatencyTime,1,69,9436273
ServiceTime,1,69,8966019
LatencyTime,1,70,8808197
ServiceTime,1,70,8212749
LatencyTime,1,71,9438211
ServiceTime,1,71,8828704
LatencyTime,1,72,10348994
ServiceTime,1,72,9887964
LatencyTime,1,73,10521449
ServiceTime,1,73,10134040
LatencyTime,1,74,6352312
ServiceTime,1,74,5902356
LatencyTime,1,75,7964809
ServiceTime,1,75,7558197
LatencyTime,1,76,7964397
ServiceTime,1,76,7512115
LatencyTime,1,77,6313380
ServiceTime,1,77,5912358
LatencyTime,1,78,6074839
ServiceTime,1,78,5651697
LatencyTime,1,79,7036122
ServiceTime,1,79,6588352
LatencyTime,1,80,5428789
ServiceTime,1,80,4921685
LatencyTime,1,81,7808428
ServiceTime,1,81,7364959
LatencyTime,1,82,5489364
ServiceTime,1,82,5074749
LatencyTime,1,83,7276316
ServiceTime,1,83,6820869
LatencyTime,1,84,10463559
ServiceTime,1,84,10015150
LatencyTime,1,85,7749888
ServiceTime,1,85,7300838
LatencyTime,1,86,8153531
ServiceTime,1,86,7656494
LatencyTime,1,87,5391343
ServiceTime,1,87,4994657
LatencyTime,1,88,8126889
ServiceTime,1,88,7733604
LatencyTime,1,89,8691357
ServiceTime,1,89,8251607
LatencyTime,1,90,10432470
ServiceTime,1,90,9997904
LatencyTime,1,91,6255073
ServiceTime,1,91,5886994
LatencyTime,1,92,6968895
ServiceTime,1,92,6542283
LatencyTime,1,93,9510120
ServiceTime,1,93,9083966
LatencyTime,1,94,9454810
ServiceTime,1,94,8955433
LatencyTime,1,95,10158506
ServiceTime,1,95,9656336
LatencyTime,1,96,6652862
ServiceTime,1,96,6235188
LatencyTime,1,97,7107711
ServiceTime,1,97,6687148
LatencyTime,1,98,9471801
ServiceTime,1,98,9002662
LatencyTime,1,99,8714808
ServiceTime,1,99,8267461
LatencyTime,1,100,6556564
ServiceTime,1,100,6141188
LatencyTime,1,101,7127546
ServiceTime,1,101,6733289
LatencyTime,1,102,5398278
ServiceTime,1,102,4999558
LatencyTime,1,103,10166835
ServiceTime,1,103,9757521
LatencyTime,1,104,5780086
ServiceTime,1,104,5365254
LatencyTime,1,105,7048432
ServiceTime,1,105,6614051
LatencyTime,1,106,8864780
ServiceTime,1,106,8418154
LatencyTime,1,107,8188382
ServiceTime,1,107,7758079
LatencyTime,1,108,7965437
ServiceTime,1,108,7493213
LatencyTime,1,109,6433944
ServiceTime,1,109,5975341
LatencyTime,1,110,10222714
ServiceTime,1,110,9764198
LatencyTime,1,111,9539969
ServiceTime,1,111,9101372
LatencyTime,1,112,8767441
ServiceTime,1,112,8237441
LatencyTime,1,113,5529573
ServiceTime,1,113,5120147
LatencyTime,1,114,7141394
ServiceTime,1,114,6756333
LatencyTime,1,115,9030102
ServiceTime,1,115,8621829
LatencyTime,1,116,9612382
ServiceTime,1,116,9199792
LatencyTime,1,117,9116302
ServiceTime,1,117,8656241
LatencyTime,1,118,5990849
ServiceTime,1,118,5593810
LatencyTime,1,119,10855941
ServiceTime,1,119,10478076
LatencyTime,1,120,6721055
ServiceTime,1,120,6358190
LatencyTime,1,121,8945198
ServiceTime,1,121,8589793
LatencyTime,1,122,6057562
ServiceTime,1,122,5641080
LatencyTime,1,123,8886154
ServiceTime,1,123,8487693
LatencyTime,1,124,9366369
ServiceTime,1,124,10315941
LatencyTime,1,125,5537071
ServiceTime,1,125,5159870
LatencyTime,1,126,7894778
ServiceTime,1,126,7499371
LatencyTime,1,127,5545733
ServiceTime,1,127,5187823
LatencyTime,1,128,8075353
ServiceTime,1,128,7696591
LatencyTime,1,129,8592593
ServiceTime,1,129,8153592
LatencyTime,1,130,9531120
ServiceTime,1,130,9002446
LatencyTime,1,131,7900410
ServiceTime,1,131,7544404
LatencyTime,1,132,5483460
ServiceTime,1,132,5126243
LatencyTime,1,133,8761994
ServiceTime,1,133,8306542
LatencyTime,1,134,8798483
ServiceTime,1,134,8334136
LatencyTime,1,135,7241071
ServiceTime,1,135,6876521
LatencyTime,1,136,8138437
ServiceTime,1,136,7791990
LatencyTime,1,137,9137720
ServiceTime,1,137,8690791
LatencyTime,1,138,5520906
ServiceTime,1,138,5121043
LatencyTime,1,139,8710541
ServiceTime,1,139,8338456
LatencyTime,1,140,9464812
ServiceTime,1,140,9014857
LatencyTime,1,141,5845699
ServiceTime,1,141,5407542
LatencyTime,1,142,8024281
ServiceTime,1,142,6818916
LatencyTime,1,143,5850733
ServiceTime,1,143,5450139
LatencyTime,1,144,6733482
ServiceTime,1,144,6305905
LatencyTime,1,145,9503043
ServiceTime,1,145,9022539
LatencyTime,1,146,6979849
ServiceTime,1,146,6533528
LatencyTime,1,147,7453412
ServiceTime,1,147,7064689
LatencyTime,1,148,7259252
ServiceTime,1,148,6903272
LatencyTime,1,149,8893515
