Metric,ExecID,ReqID,Value
MainEntry,1,0,6785520033583661
MainExit,1,0,6785520045178353
Ready2Serve,1,0,6785520059112168
RuntimeReadyTime,1,0,103940562
ServiceTime,1,0,411792993
LatencyTime,1,0,515733555
LatencyTime,1,1,29474301
ServiceTime,1,1,27381098
LatencyTime,1,2,27954217
ServiceTime,1,2,27533192
LatencyTime,1,3,24059982
ServiceTime,1,3,23680218
LatencyTime,1,4,24164188
ServiceTime,1,4,23806567
LatencyTime,1,5,23750952
ServiceTime,1,5,23325804
LatencyTime,1,6,24063668
ServiceTime,1,6,23695913
LatencyTime,1,7,21776812
ServiceTime,1,7,21269847
LatencyTime,1,8,88114946
ServiceTime,1,8,87501455
LatencyTime,1,9,41374586
ServiceTime,1,9,40565230
LatencyTime,1,10,4781391
ServiceTime,1,10,4391099
LatencyTime,1,11,7422123
ServiceTime,1,11,7098751
LatencyTime,1,12,13936911
ServiceTime,1,12,13193737
LatencyTime,1,13,5396084
ServiceTime,1,13,5007287
LatencyTime,1,14,12564996
ServiceTime,1,14,11901750
LatencyTime,1,15,8446276
ServiceTime,1,15,7823787
LatencyTime,1,16,5577142
ServiceTime,1,16,5167539
LatencyTime,1,17,8534431
ServiceTime,1,17,8111728
LatencyTime,1,18,8624610
ServiceTime,1,18,8130965
LatencyTime,1,19,8200076
ServiceTime,1,19,7528193
LatencyTime,1,20,5784458
ServiceTime,1,20,5343869
LatencyTime,1,21,7686405
ServiceTime,1,21,7324723
LatencyTime,1,22,9382754
ServiceTime,1,22,8892397
LatencyTime,1,23,9785553
ServiceTime,1,23,9324904
LatencyTime,1,24,4585901
ServiceTime,1,24,4059744
LatencyTime,1,25,8294722
ServiceTime,1,25,7935325
LatencyTime,1,26,10684598
ServiceTime,1,26,10241004
LatencyTime,1,27,9300141
ServiceTime,1,27,8777004
LatencyTime,1,28,8165585
ServiceTime,1,28,7685365
LatencyTime,1,29,9477149
ServiceTime,1,29,9037829
LatencyTime,1,30,8588550
ServiceTime,1,30,8123655
LatencyTime,1,31,8592659
ServiceTime,1,31,8038972
LatencyTime,1,32,5876859
ServiceTime,1,32,5377317
LatencyTime,1,33,7637595
ServiceTime,1,33,6891243
LatencyTime,1,34,9740253
ServiceTime,1,34,9266195
LatencyTime,1,35,9257097
ServiceTime,1,35,8733042
LatencyTime,1,36,8681807
ServiceTime,1,36,8184868
LatencyTime,1,37,5086395
ServiceTime,1,37,4664299
LatencyTime,1,38,8534083
ServiceTime,1,38,8071114
LatencyTime,1,39,8530949
ServiceTime,1,39,8072733
LatencyTime,1,40,9520876
ServiceTime,1,40,9042840
LatencyTime,1,41,5227969
ServiceTime,1,41,4810159
LatencyTime,1,42,8072269
ServiceTime,1,42,7650481
LatencyTime,1,43,12244183
ServiceTime,1,43,10757721
LatencyTime,1,44,7053458
ServiceTime,1,44,6572514
LatencyTime,1,45,8656818
ServiceTime,1,45,8264743
LatencyTime,1,46,8209027
ServiceTime,1,46,7750646
LatencyTime,1,47,9509992
ServiceTime,1,47,9062907
LatencyTime,1,48,6216950
ServiceTime,1,48,5818052
LatencyTime,1,49,7931030
ServiceTime,1,49,7568267
LatencyTime,1,50,8925389
ServiceTime,1,50,8281304
LatencyTime,1,51,9305030
ServiceTime,1,51,8839176
LatencyTime,1,52,8721341
ServiceTime,1,52,8266772
LatencyTime,1,53,8088032
ServiceTime,1,53,7668193
LatencyTime,1,54,8323266
ServiceTime,1,54,7889258
LatencyTime,1,55,11710220
ServiceTime,1,55,11290273
LatencyTime,1,56,8751695
ServiceTime,1,56,8238748
LatencyTime,1,57,7051491
ServiceTime,1,57,6655581
LatencyTime,1,58,8673378
ServiceTime,1,58,8277334
LatencyTime,1,59,8816288
ServiceTime,1,59,8355314
LatencyTime,1,60,9429328
ServiceTime,1,60,8923594
LatencyTime,1,61,10830870
ServiceTime,1,61,10398552
LatencyTime,1,62,9262602
ServiceTime,1,62,8828476
LatencyTime,1,63,8029267
ServiceTime,1,63,7573682
LatencyTime,1,64,5734907
ServiceTime,1,64,5380775
LatencyTime,1,65,11615543
ServiceTime,1,65,11293931
LatencyTime,1,66,8563815
ServiceTime,1,66,8194064
LatencyTime,1,67,8352011
ServiceTime,1,67,7923473
LatencyTime,1,68,5845461
ServiceTime,1,68,5409636
LatencyTime,1,69,9041647
ServiceTime,1,69,8586606
LatencyTime,1,70,7915521
ServiceTime,1,70,7490802
LatencyTime,1,71,8190303
ServiceTime,1,71,7729817
LatencyTime,1,72,8813643
ServiceTime,1,72,8339788
LatencyTime,1,73,9323240
ServiceTime,1,73,8878299
LatencyTime,1,74,8314661
ServiceTime,1,74,7813201
LatencyTime,1,75,7490673
ServiceTime,1,75,7023857
LatencyTime,1,76,8495418
ServiceTime,1,76,8093914
LatencyTime,1,77,9208925
ServiceTime,1,77,8760776
LatencyTime,1,78,8876840
ServiceTime,1,78,8410822
LatencyTime,1,79,9499372
ServiceTime,1,79,9067749
LatencyTime,1,80,9168034
ServiceTime,1,80,8748241
LatencyTime,1,81,8933493
ServiceTime,1,81,8487942
LatencyTime,1,82,5888666
