Metric,ExecID,ReqID,Value
MainEntry,1,0,6953493391140679
MainExit,1,0,6953493404092349
Ready2Serve,1,0,6953494961570551
RuntimeReadyTime,1,0,47093919
ServiceTime,1,0,26134777
LatencyTime,1,0,73228696
LatencyTime,1,1,25325566
ServiceTime,1,1,24777302
LatencyTime,1,2,27218733
ServiceTime,1,2,26650789
LatencyTime,1,3,28018406
ServiceTime,1,3,27538154
LatencyTime,1,4,28149802
ServiceTime,1,4,27833102
LatencyTime,1,5,28928773
ServiceTime,1,5,28523594
LatencyTime,1,6,26178087
ServiceTime,1,6,25642247
LatencyTime,1,7,107219639
ServiceTime,1,7,106627261
LatencyTime,1,8,56565927
ServiceTime,1,8,55925980
LatencyTime,1,9,5331348
ServiceTime,1,9,4849039
LatencyTime,1,10,8427567
ServiceTime,1,10,8096119
LatencyTime,1,11,13183461
ServiceTime,1,11,12644185
LatencyTime,1,12,6059432
ServiceTime,1,12,5565382
LatencyTime,1,13,9702178
ServiceTime,1,13,9251281
LatencyTime,1,14,9041796
ServiceTime,1,14,8799347
LatencyTime,1,15,7830530
ServiceTime,1,15,6699919
LatencyTime,1,16,7102548
ServiceTime,1,16,6671120
LatencyTime,1,17,9209448
ServiceTime,1,17,8638880
LatencyTime,1,18,8208361
ServiceTime,1,18,7694975
LatencyTime,1,19,8246013
ServiceTime,1,19,7382608
LatencyTime,1,20,5207712
ServiceTime,1,20,4814893
LatencyTime,1,21,7342787
ServiceTime,1,21,6937643
LatencyTime,1,22,9484688
ServiceTime,1,22,9054070
LatencyTime,1,23,6768488
ServiceTime,1,23,6258613
LatencyTime,1,24,8116970
ServiceTime,1,24,7649419
LatencyTime,1,25,5871901
ServiceTime,1,25,5355621
LatencyTime,1,26,8015255
ServiceTime,1,26,7636786
LatencyTime,1,27,10523512
ServiceTime,1,27,10090039
LatencyTime,1,28,5231248
ServiceTime,1,28,4837822
LatencyTime,1,29,7823489
ServiceTime,1,29,7392768
LatencyTime,1,30,5596985
ServiceTime,1,30,5054499
LatencyTime,1,31,8317695
ServiceTime,1,31,7891523
LatencyTime,1,32,8512332
ServiceTime,1,32,8063804
LatencyTime,1,33,8654456
ServiceTime,1,33,8221135
LatencyTime,1,34,8588256
ServiceTime,1,34,8186699
LatencyTime,1,35,8241301
ServiceTime,1,35,7840897
LatencyTime,1,36,9009537
ServiceTime,1,36,8527731
LatencyTime,1,37,5799601
ServiceTime,1,37,5331883
LatencyTime,1,38,8304524
ServiceTime,1,38,7905491
LatencyTime,1,39,8207050
ServiceTime,1,39,7750914
LatencyTime,1,40,9322945
ServiceTime,1,40,8858218
LatencyTime,1,41,5786150
ServiceTime,1,41,5420001
LatencyTime,1,42,8163082
ServiceTime,1,42,7747097
LatencyTime,1,43,9123849
ServiceTime,1,43,8674007
LatencyTime,1,44,9330931
ServiceTime,1,44,8860799
LatencyTime,1,45,6578045
ServiceTime,1,45,5807044
LatencyTime,1,46,8254443
ServiceTime,1,46,7813453
LatencyTime,1,47,9311204
ServiceTime,1,47,8671597
LatencyTime,1,48,8612476
ServiceTime,1,48,8164400
LatencyTime,1,49,5685130
ServiceTime,1,49,5261266
LatencyTime,1,50,8511988
ServiceTime,1,50,8141900
LatencyTime,1,51,9139972
ServiceTime,1,51,8541466
LatencyTime,1,52,8327032
ServiceTime,1,52,7797775
LatencyTime,1,53,6685717
ServiceTime,1,53,6254007
LatencyTime,1,54,7250143
ServiceTime,1,54,6828463
LatencyTime,1,55,7911098
ServiceTime,1,55,7482851
LatencyTime,1,56,8132329
ServiceTime,1,56,7792560
LatencyTime,1,57,9646534
ServiceTime,1,57,9171296
LatencyTime,1,58,5902473
ServiceTime,1,58,5463099
LatencyTime,1,59,8584082
ServiceTime,1,59,8128142
LatencyTime,1,60,7807801
ServiceTime,1,60,7462747
LatencyTime,1,61,9935424
ServiceTime,1,61,9520299
LatencyTime,1,62,6098152
ServiceTime,1,62,5679224
LatencyTime,1,63,7955365
ServiceTime,1,63,7540390
LatencyTime,1,64,8641360
ServiceTime,1,64,8172997
LatencyTime,1,65,9677440
ServiceTime,1,65,9259729
LatencyTime,1,66,10302403
ServiceTime,1,66,10122525
LatencyTime,1,67,8290696
ServiceTime,1,67,7868727
LatencyTime,1,68,8987717
ServiceTime,1,68,8504014
LatencyTime,1,69,6392807
ServiceTime,1,69,5914151
LatencyTime,1,70,8934737
ServiceTime,1,70,8567218
LatencyTime,1,71,8242520
ServiceTime,1,71,7803894
LatencyTime,1,72,8984825
ServiceTime,1,72,8393357
LatencyTime,1,73,9152770
ServiceTime,1,73,8458534
LatencyTime,1,74,8814405
ServiceTime,1,74,8269436
LatencyTime,1,75,8496764
ServiceTime,1,75,8015993
LatencyTime,1,76,5704273
ServiceTime,1,76,5330774
LatencyTime,1,77,8337745
ServiceTime,1,77,7977234
LatencyTime,1,78,9620693
ServiceTime,1,78,8895285
LatencyTime,1,79,5727555
ServiceTime,1,79,5225762
LatencyTime,1,80,8609874
ServiceTime,1,80,8220867
LatencyTime,1,81,7337393
ServiceTime,1,81,6950953
LatencyTime,1,82,8557804
ServiceTime,1,82,8056787
LatencyTime,1,83,8581212
ServiceTime,1,83,8093332
LatencyTime,1,84,9699456
ServiceTime,1,84,8842738
LatencyTime,1,85,6561570
ServiceTime,1,85,6067913
LatencyTime,1,86,9370623
ServiceTime,1,86,8860060
LatencyTime,1,87,8523856
ServiceTime,1,87,8035124
LatencyTime,1,88,10300965
ServiceTime,1,88,9607670
LatencyTime,1,89,8752798
ServiceTime,1,89,8109677
LatencyTime,1,90,10322087
ServiceTime,1,90,9642170
LatencyTime,1,91,7789171
ServiceTime,1,91,7346217
LatencyTime,1,92,9352291
ServiceTime,1,92,8796402
LatencyTime,1,93,8033737
ServiceTime,1,93,7244166
LatencyTime,1,94,8998949
ServiceTime,1,94,8596906
LatencyTime,1,95,8216313
ServiceTime,1,95,7712125
LatencyTime,1,96,7230242
ServiceTime,1,96,6793368
LatencyTime,1,97,10156182
ServiceTime,1,97,9485858
LatencyTime,1,98,9208090
ServiceTime,1,98,8633963
LatencyTime,1,99,9656458
ServiceTime,1,99,9189105
LatencyTime,1,100,7098309
ServiceTime,1,100,6725018
LatencyTime,1,101,9123732
ServiceTime,1,101,8763480
LatencyTime,1,102,9016404
ServiceTime,1,102,8545763
LatencyTime,1,103,11524738
ServiceTime,1,103,10792530
LatencyTime,1,104,9464035
ServiceTime,1,104,8942479
LatencyTime,1,105,8211119
ServiceTime,1,105,7765251
LatencyTime,1,106,8868763
ServiceTime,1,106,8209044
LatencyTime,1,107,7925189
ServiceTime,1,107,7382800
LatencyTime,1,108,10230110
ServiceTime,1,108,9581824
LatencyTime,1,109,9285249
ServiceTime,1,109,8625003
LatencyTime,1,110,12515186
ServiceTime,1,110,11836370
LatencyTime,1,111,10432992
ServiceTime,1,111,9923925
LatencyTime,1,112,9205560
ServiceTime,1,112,8587489
LatencyTime,1,113,8783069
ServiceTime,1,113,8257572
LatencyTime,1,114,17433769
ServiceTime,1,114,16822583
LatencyTime,1,115,11432405
ServiceTime,1,115,10891201
LatencyTime,1,116,9367528
ServiceTime,1,116,8943719
LatencyTime,1,117,9037967
ServiceTime,1,117,8587188
LatencyTime,1,118,6031458
ServiceTime,1,118,5615687
LatencyTime,1,119,7950186
ServiceTime,1,119,7475686
LatencyTime,1,120,8078165
ServiceTime,1,120,7651182
LatencyTime,1,121,8964111
ServiceTime,1,121,8487791
LatencyTime,1,122,6506373
ServiceTime,1,122,5992538
LatencyTime,1,123,8465528
ServiceTime,1,123,8024100
LatencyTime,1,124,11830761
ServiceTime,1,124,9321670
LatencyTime,1,125,5886867
ServiceTime,1,125,5491402
LatencyTime,1,126,9185215
ServiceTime,1,126,9013673
LatencyTime,1,127,10459861
ServiceTime,1,127,10336433
LatencyTime,1,128,9070790
ServiceTime,1,128,8682531
LatencyTime,1,129,8845405
ServiceTime,1,129,8466083
LatencyTime,1,130,5530511
ServiceTime,1,130,5392326
LatencyTime,1,131,9066917
ServiceTime,1,131,8909596
