Metric,ExecID,ReqID,Value
MainEntry,1,0,1429127858383227
MainExit,1,0,1429127870715508
Ready2Serve,1,0,1429129009981398
RuntimeReadyTime,1,0,27458487
ServiceTime,1,0,718540
LatencyTime,1,0,28177027
LatencyTime,1,1,1232717
ServiceTime,1,1,390501
LatencyTime,1,2,915431
ServiceTime,1,2,293770
LatencyTime,1,3,979004
ServiceTime,1,3,299825
LatencyTime,1,4,609480
ServiceTime,1,4,161594
LatencyTime,1,5,2237184
ServiceTime,1,5,274524
LatencyTime,1,6,3433321
ServiceTime,1,6,323435
LatencyTime,1,7,1059625
ServiceTime,1,7,298350
LatencyTime,1,8,905817
ServiceTime,1,8,278624
LatencyTime,1,9,1169821
ServiceTime,1,9,149394
LatencyTime,1,10,693308
ServiceTime,1,10,150151
LatencyTime,1,11,682293
ServiceTime,1,11,139773
LatencyTime,1,12,619593
ServiceTime,1,12,165238
LatencyTime,1,13,580289
ServiceTime,1,13,119046
LatencyTime,1,14,2200411
ServiceTime,1,14,148196
LatencyTime,1,15,633602
ServiceTime,1,15,121289
LatencyTime,1,16,724463
ServiceTime,1,16,257322
LatencyTime,1,17,633236
ServiceTime,1,17,175755
LatencyTime,1,18,537132
ServiceTime,1,18,126283
LatencyTime,1,19,540023
ServiceTime,1,19,123086
LatencyTime,1,20,628225
ServiceTime,1,20,257331
LatencyTime,1,21,527207
ServiceTime,1,21,123431
LatencyTime,1,22,710252
ServiceTime,1,22,356506
LatencyTime,1,23,1109777
ServiceTime,1,23,747902
LatencyTime,1,24,515019
ServiceTime,1,24,122250
LatencyTime,1,25,460073
ServiceTime,1,25,107528
LatencyTime,1,26,457534
ServiceTime,1,26,100060
LatencyTime,1,27,451579
ServiceTime,1,27,103728
LatencyTime,1,28,424923
ServiceTime,1,28,115057
LatencyTime,1,29,1052354
ServiceTime,1,29,722621
LatencyTime,1,30,435888
ServiceTime,1,30,106832
LatencyTime,1,31,572718
ServiceTime,1,31,112147
LatencyTime,1,32,445423
ServiceTime,1,32,105931
LatencyTime,1,33,393957
ServiceTime,1,33,103498
LatencyTime,1,34,402581
ServiceTime,1,34,97474
LatencyTime,1,35,1147256
ServiceTime,1,35,103874
LatencyTime,1,36,446241
ServiceTime,1,36,101516
LatencyTime,1,37,439080
ServiceTime,1,37,108197
LatencyTime,1,38,470435
ServiceTime,1,38,111091
LatencyTime,1,39,408546
ServiceTime,1,39,98678
LatencyTime,1,40,570656
ServiceTime,1,40,242368
LatencyTime,1,41,797241
ServiceTime,1,41,116386
LatencyTime,1,42,585867
ServiceTime,1,42,252923
LatencyTime,1,43,427064
ServiceTime,1,43,110751
LatencyTime,1,44,427508
ServiceTime,1,44,92468
LatencyTime,1,45,435926
ServiceTime,1,45,104971
LatencyTime,1,46,2488441
ServiceTime,1,46,100796
LatencyTime,1,47,461121
ServiceTime,1,47,103504
LatencyTime,1,48,439280
ServiceTime,1,48,98801
LatencyTime,1,49,547526
ServiceTime,1,49,110075
LatencyTime,1,50,1290338
ServiceTime,1,50,105734
LatencyTime,1,51,417590
ServiceTime,1,51,100112
LatencyTime,1,52,442767
ServiceTime,1,52,93240
LatencyTime,1,53,1494647
ServiceTime,1,53,1107945
LatencyTime,1,54,545007
ServiceTime,1,54,103433
LatencyTime,1,55,422343
ServiceTime,1,55,94516
