Metric,ExecID,ReqID,Value
MainEntry,1,0,823142764270815
MainExit,1,0,823142777186628
Ready2Serve,1,0,823142790754516
RuntimeReadyTime,1,0,90334800
ServiceTime,1,0,2427247
LatencyTime,1,0,92762047
LatencyTime,1,1,3464746
ServiceTime,1,1,441939
LatencyTime,1,2,954879
ServiceTime,1,2,312018
LatencyTime,1,3,1070594
ServiceTime,1,3,561382
LatencyTime,1,4,760300
ServiceTime,1,4,185752
LatencyTime,1,5,1491111
ServiceTime,1,5,770458
LatencyTime,1,6,711877
ServiceTime,1,6,155520
LatencyTime,1,7,1939160
ServiceTime,1,7,174159
LatencyTime,1,8,780599
ServiceTime,1,8,262854
LatencyTime,1,9,715891
ServiceTime,1,9,166609
LatencyTime,1,10,568128
ServiceTime,1,10,133835
LatencyTime,1,11,623814
ServiceTime,1,11,130676
LatencyTime,1,12,952108
ServiceTime,1,12,142788
LatencyTime,1,13,486868
ServiceTime,1,13,139782
LatencyTime,1,14,586522
ServiceTime,1,14,139208
LatencyTime,1,15,514142
ServiceTime,1,15,114174
LatencyTime,1,16,503731
ServiceTime,1,16,120998
LatencyTime,1,17,614395
ServiceTime,1,17,251986
LatencyTime,1,18,493493
ServiceTime,1,18,130001
LatencyTime,1,19,470380
ServiceTime,1,19,133141
LatencyTime,1,20,590481
ServiceTime,1,20,207675
LatencyTime,1,21,476717
ServiceTime,1,21,116556
LatencyTime,1,22,462090
ServiceTime,1,22,119042
LatencyTime,1,23,1266219
ServiceTime,1,23,264486
LatencyTime,1,24,483692
ServiceTime,1,24,125349
LatencyTime,1,25,454158
ServiceTime,1,25,110932
LatencyTime,1,26,482283
ServiceTime,1,26,105971
LatencyTime,1,27,446970
ServiceTime,1,27,108120
LatencyTime,1,28,408561
ServiceTime,1,28,104141
LatencyTime,1,29,404766
ServiceTime,1,29,102281
LatencyTime,1,30,748081
ServiceTime,1,30,104524
LatencyTime,1,31,401493
ServiceTime,1,31,98512
LatencyTime,1,32,394348
ServiceTime,1,32,101958
LatencyTime,1,33,575058
ServiceTime,1,33,115748
LatencyTime,1,34,395767
ServiceTime,1,34,95901
LatencyTime,1,35,1268596
ServiceTime,1,35,104552
LatencyTime,1,36,423046
ServiceTime,1,36,99805
LatencyTime,1,37,424309
ServiceTime,1,37,103292
LatencyTime,1,38,394858
ServiceTime,1,38,103508
LatencyTime,1,39,410390
ServiceTime,1,39,103799
LatencyTime,1,40,382725
ServiceTime,1,40,105477
LatencyTime,1,41,915687
ServiceTime,1,41,213688
LatencyTime,1,42,413835
ServiceTime,1,42,107975
LatencyTime,1,43,379622
ServiceTime,1,43,103273
LatencyTime,1,44,411852
ServiceTime,1,44,104615
LatencyTime,1,45,377739
ServiceTime,1,45,100638
LatencyTime,1,46,454963
ServiceTime,1,46,102120
LatencyTime,1,47,360058
ServiceTime,1,47,96712
LatencyTime,1,48,389214
ServiceTime,1,48,96919
LatencyTime,1,49,404114
ServiceTime,1,49,99821
LatencyTime,1,50,499742
ServiceTime,1,50,108575
LatencyTime,1,51,419956
ServiceTime,1,51,100663
LatencyTime,1,52,373366
ServiceTime,1,52,99679
LatencyTime,1,53,399118
ServiceTime,1,53,90915
LatencyTime,1,54,392083
ServiceTime,1,54,97910
LatencyTime,1,55,2325675
ServiceTime,1,55,1221197
LatencyTime,1,56,376636
ServiceTime,1,56,95291
LatencyTime,1,57,383883
ServiceTime,1,57,90836
LatencyTime,1,58,396607
ServiceTime,1,58,108247
LatencyTime,1,59,354050
ServiceTime,1,59,90559
LatencyTime,1,60,367424
ServiceTime,1,60,91059
LatencyTime,1,61,1033779
ServiceTime,1,61,686803
LatencyTime,1,62,353431
ServiceTime,1,62,93916
LatencyTime,1,63,386362
ServiceTime,1,63,92294
LatencyTime,1,64,385345
ServiceTime,1,64,90247
LatencyTime,1,65,370616
ServiceTime,1,65,90843
LatencyTime,1,66,367456
ServiceTime,1,66,90272
LatencyTime,1,67,339300
ServiceTime,1,67,89311
LatencyTime,1,68,490387
ServiceTime,1,68,88324
LatencyTime,1,69,407171
ServiceTime,1,69,91080
LatencyTime,1,70,384811
ServiceTime,1,70,90895
LatencyTime,1,71,402866
ServiceTime,1,71,90146
LatencyTime,1,72,391753
ServiceTime,1,72,89584
LatencyTime,1,73,390612
