Metric,ExecID,ReqID,Value
MainEntry,1,0,1436816048035191
MainExit,1,0,1436816059935488
Ready2Serve,1,0,1436817191891861
RuntimeReadyTime,1,0,22965923
ServiceTime,1,0,493211
LatencyTime,1,0,23459134
LatencyTime,1,1,1194893
ServiceTime,1,1,186283
LatencyTime,1,2,1115086
ServiceTime,1,2,313984
LatencyTime,1,3,1395661
ServiceTime,1,3,321570
LatencyTime,1,4,2461218
ServiceTime,1,4,182846
LatencyTime,1,5,1307699
ServiceTime,1,5,286976
LatencyTime,1,6,3188994
ServiceTime,1,6,397754
LatencyTime,1,7,1683417
ServiceTime,1,7,313702
LatencyTime,1,8,969249
ServiceTime,1,8,292039
LatencyTime,1,9,580961
ServiceTime,1,9,145010
LatencyTime,1,10,1047293
ServiceTime,1,10,167669
LatencyTime,1,11,1590960
ServiceTime,1,11,153448
LatencyTime,1,12,641970
ServiceTime,1,12,168311
LatencyTime,1,13,914790
ServiceTime,1,13,135027
LatencyTime,1,14,589194
ServiceTime,1,14,127828
LatencyTime,1,15,1833406
ServiceTime,1,15,133373
LatencyTime,1,16,1051957
ServiceTime,1,16,252898
LatencyTime,1,17,817127
ServiceTime,1,17,268367
LatencyTime,1,18,687632
ServiceTime,1,18,151514
LatencyTime,1,19,590945
ServiceTime,1,19,133953
LatencyTime,1,20,672035
ServiceTime,1,20,144218
LatencyTime,1,21,582452
ServiceTime,1,21,136306
LatencyTime,1,22,784155
ServiceTime,1,22,398352
LatencyTime,1,23,1292075
ServiceTime,1,23,150387
LatencyTime,1,24,537726
ServiceTime,1,24,115715
LatencyTime,1,25,473968
ServiceTime,1,25,129094
LatencyTime,1,26,650063
ServiceTime,1,26,113633
LatencyTime,1,27,540240
ServiceTime,1,27,114955
LatencyTime,1,28,527801
ServiceTime,1,28,114721
LatencyTime,1,29,439631
ServiceTime,1,29,115133
LatencyTime,1,30,760175
ServiceTime,1,30,127271
LatencyTime,1,31,484782
ServiceTime,1,31,115797
LatencyTime,1,32,420444
ServiceTime,1,32,106208
LatencyTime,1,33,607416
ServiceTime,1,33,112287
LatencyTime,1,34,497979
ServiceTime,1,34,114921
LatencyTime,1,35,437071
ServiceTime,1,35,115919
LatencyTime,1,36,587317
ServiceTime,1,36,113493
LatencyTime,1,37,502661
ServiceTime,1,37,110906
LatencyTime,1,38,413923
ServiceTime,1,38,118130
LatencyTime,1,39,637575
ServiceTime,1,39,120349
LatencyTime,1,40,970467
ServiceTime,1,40,256265
LatencyTime,1,41,415245
ServiceTime,1,41,122075
LatencyTime,1,42,769002
ServiceTime,1,42,258014
LatencyTime,1,43,490431
ServiceTime,1,43,118242
LatencyTime,1,44,527322
ServiceTime,1,44,106193
LatencyTime,1,45,465006
ServiceTime,1,45,102344
LatencyTime,1,46,845276
ServiceTime,1,46,103106
LatencyTime,1,47,475574
ServiceTime,1,47,108560
LatencyTime,1,48,498978
ServiceTime,1,48,103715
LatencyTime,1,49,621292
ServiceTime,1,49,117188
LatencyTime,1,50,450326
ServiceTime,1,50,109090
LatencyTime,1,51,586961
ServiceTime,1,51,107872
LatencyTime,1,52,518765
ServiceTime,1,52,122862
LatencyTime,1,53,1598443
ServiceTime,1,53,117506
LatencyTime,1,54,490086
ServiceTime,1,54,101682
LatencyTime,1,55,411415
ServiceTime,1,55,98805
LatencyTime,1,56,547280
ServiceTime,1,56,97592
LatencyTime,1,57,1422011
ServiceTime,1,57,99935
