Metric,ExecID,ReqID,Value
MainEntry,1,0,6707127669147811
MainExit,1,0,6707127681166809
Ready2Serve,1,0,6707128793210234
RuntimeReadyTime,1,0,22142614
ServiceTime,1,0,88543227
LatencyTime,1,0,110685841
LatencyTime,1,1,6625397
ServiceTime,1,1,5519594
LatencyTime,1,2,6048236
ServiceTime,1,2,5635324
LatencyTime,1,3,8790070
ServiceTime,1,3,8542965
LatencyTime,1,4,8627192
ServiceTime,1,4,8345876
LatencyTime,1,5,8209340
ServiceTime,1,5,7599859
LatencyTime,1,6,8557202
ServiceTime,1,6,7832799
LatencyTime,1,7,9630015
ServiceTime,1,7,8409786
LatencyTime,1,8,28052677
ServiceTime,1,8,27571506
LatencyTime,1,9,17874053
ServiceTime,1,9,17173434
LatencyTime,1,10,1723709
ServiceTime,1,10,1493892
LatencyTime,1,11,1820563
ServiceTime,1,11,1482381
LatencyTime,1,12,2655061
ServiceTime,1,12,3387134
LatencyTime,1,13,2866839
ServiceTime,1,13,2177225
LatencyTime,1,14,2357931
ServiceTime,1,14,1969704
LatencyTime,1,15,3204751
ServiceTime,1,15,2989942
LatencyTime,1,16,2547980
ServiceTime,1,16,2117320
LatencyTime,1,17,2119988
ServiceTime,1,17,1518744
LatencyTime,1,18,4067657
ServiceTime,1,18,3373394
LatencyTime,1,19,1923158
ServiceTime,1,19,1446534
LatencyTime,1,20,1974484
ServiceTime,1,20,1574421
LatencyTime,1,21,2319980
ServiceTime,1,21,1884495
LatencyTime,1,22,3453284
ServiceTime,1,22,3008560
LatencyTime,1,23,2240171
ServiceTime,1,23,1854155
LatencyTime,1,24,2622087
ServiceTime,1,24,2081459
LatencyTime,1,25,2562885
ServiceTime,1,25,1792861
LatencyTime,1,26,3241966
ServiceTime,1,26,2738739
LatencyTime,1,27,3691259
ServiceTime,1,27,2591007
LatencyTime,1,28,1943183
ServiceTime,1,28,1534617
LatencyTime,1,29,1909030
ServiceTime,1,29,1535551
LatencyTime,1,30,2759851
ServiceTime,1,30,2125486
LatencyTime,1,31,3632482
ServiceTime,1,31,2022271
LatencyTime,1,32,2388821
ServiceTime,1,32,2000466
LatencyTime,1,33,2585358
ServiceTime,1,33,1920694
LatencyTime,1,34,1958625
ServiceTime,1,34,1540244
LatencyTime,1,35,2086183
ServiceTime,1,35,1641787
LatencyTime,1,36,1926319
ServiceTime,1,36,1551530
LatencyTime,1,37,2831201
ServiceTime,1,37,1821808
LatencyTime,1,38,6103616
ServiceTime,1,38,5598919
LatencyTime,1,39,1765752
ServiceTime,1,39,1417669
LatencyTime,1,40,2775308
ServiceTime,1,40,2273165
LatencyTime,1,41,1741964
ServiceTime,1,41,1343246
LatencyTime,1,42,1977978
ServiceTime,1,42,1501463
LatencyTime,1,43,1575949
ServiceTime,1,43,1249470
LatencyTime,1,44,2467708
ServiceTime,1,44,1944832
LatencyTime,1,45,2894698
