Metric,ExecID,ReqID,Value
MainEntry,1,0,6704922369509752
MainExit,1,0,6704922382221067
Ready2Serve,1,0,6704922397828043
RuntimeReadyTime,1,0,182103371
ServiceTime,1,0,303847376
LatencyTime,1,0,485950747
LatencyTime,1,1,8484287
ServiceTime,1,1,6131842
LatencyTime,1,2,6635529
ServiceTime,1,2,5814867
LatencyTime,1,3,10233767
ServiceTime,1,3,9632416
LatencyTime,1,4,11339094
ServiceTime,1,4,9297730
LatencyTime,1,5,10429265
ServiceTime,1,5,9144993
LatencyTime,1,6,7344009
ServiceTime,1,6,6915444
LatencyTime,1,7,9272076
ServiceTime,1,7,8508048
LatencyTime,1,8,29125454
ServiceTime,1,8,28099462
LatencyTime,1,9,14351513
ServiceTime,1,9,13862066
LatencyTime,1,10,2265460
ServiceTime,1,10,1684181
LatencyTime,1,11,2252320
ServiceTime,1,11,1827388
LatencyTime,1,12,5346908
ServiceTime,1,12,3703767
LatencyTime,1,13,7609339
ServiceTime,1,13,3736956
LatencyTime,1,14,3584296
ServiceTime,1,14,1905507
LatencyTime,1,15,3659571
ServiceTime,1,15,1876664
LatencyTime,1,16,2688175
ServiceTime,1,16,1664894
LatencyTime,1,17,2826670
ServiceTime,1,17,1495707
LatencyTime,1,18,3012184
ServiceTime,1,18,1965112
LatencyTime,1,19,2582576
ServiceTime,1,19,1864323
LatencyTime,1,20,2191401
ServiceTime,1,20,1731169
LatencyTime,1,21,2316519
ServiceTime,1,21,1841721
LatencyTime,1,22,3874392
ServiceTime,1,22,2987324
LatencyTime,1,23,3726644
ServiceTime,1,23,3217645
LatencyTime,1,24,2577568
ServiceTime,1,24,2124208
LatencyTime,1,25,2433277
ServiceTime,1,25,2001767
LatencyTime,1,26,2614194
ServiceTime,1,26,2138530
LatencyTime,1,27,2354951
ServiceTime,1,27,1895193
LatencyTime,1,28,3844160
ServiceTime,1,28,1914076
LatencyTime,1,29,3136840
ServiceTime,1,29,2078470
LatencyTime,1,30,2350840
ServiceTime,1,30,1906779
LatencyTime,1,31,2478933
ServiceTime,1,31,2031858
LatencyTime,1,32,2632596
ServiceTime,1,32,2111778
LatencyTime,1,33,2762443
ServiceTime,1,33,2075973
LatencyTime,1,34,3299283
ServiceTime,1,34,2750940
LatencyTime,1,35,3076616
ServiceTime,1,35,2530969
LatencyTime,1,36,3690360
ServiceTime,1,36,2944373
LatencyTime,1,37,2425990
ServiceTime,1,37,1934474
LatencyTime,1,38,3123134
ServiceTime,1,38,1913317
LatencyTime,1,39,2372235
ServiceTime,1,39,1938526
LatencyTime,1,40,9851796
ServiceTime,1,40,3537070
LatencyTime,1,41,2805594
ServiceTime,1,41,2266988
LatencyTime,1,42,2752601
ServiceTime,1,42,2357824
LatencyTime,1,43,2492183
ServiceTime,1,43,2009709
LatencyTime,1,44,3322998
ServiceTime,1,44,2076303
LatencyTime,1,45,5130755
ServiceTime,1,45,2093671
LatencyTime,1,46,3104877
ServiceTime,1,46,2640860
