Metric,ExecID,ReqID,Value
MainEntry,1,0,6782764586436117
MainExit,1,0,6782764599229180
Ready2Serve,1,0,6782765821695884
RuntimeReadyTime,1,0,24561515
ServiceTime,1,0,6634882
LatencyTime,1,0,31196397
LatencyTime,1,1,8226629
ServiceTime,1,1,7863645
LatencyTime,1,2,6074241
ServiceTime,1,2,5634424
LatencyTime,1,3,8838103
ServiceTime,1,3,8647595
LatencyTime,1,4,9902986
ServiceTime,1,4,9499449
LatencyTime,1,5,6956425
ServiceTime,1,5,6634444
LatencyTime,1,6,8128431
ServiceTime,1,6,7729933
LatencyTime,1,7,27349571
ServiceTime,1,7,26728522
LatencyTime,1,8,15861647
ServiceTime,1,8,15492049
LatencyTime,1,9,1885600
ServiceTime,1,9,1354684
LatencyTime,1,10,1887135
ServiceTime,1,10,1436131
LatencyTime,1,11,2675742
ServiceTime,1,11,2252221
LatencyTime,1,12,2223148
ServiceTime,1,12,1730610
LatencyTime,1,13,2522858
ServiceTime,1,13,2120310
LatencyTime,1,14,2536376
ServiceTime,1,14,2375513
LatencyTime,1,15,2335012
ServiceTime,1,15,1898009
LatencyTime,1,16,3093965
ServiceTime,1,16,2562945
LatencyTime,1,17,3284137
ServiceTime,1,17,2379919
LatencyTime,1,18,2101096
ServiceTime,1,18,1659513
LatencyTime,1,19,1908496
ServiceTime,1,19,1481153
LatencyTime,1,20,2718759
ServiceTime,1,20,2073222
LatencyTime,1,21,2928367
ServiceTime,1,21,2179433
LatencyTime,1,22,4123158
ServiceTime,1,22,3525734
LatencyTime,1,23,3552330
ServiceTime,1,23,2986446
LatencyTime,1,24,2336203
ServiceTime,1,24,1748842
LatencyTime,1,25,2411784
ServiceTime,1,25,1678401
LatencyTime,1,26,2341105
ServiceTime,1,26,1860151
LatencyTime,1,27,2182015
ServiceTime,1,27,1871281
LatencyTime,1,28,2470950
ServiceTime,1,28,2187592
LatencyTime,1,29,3245032
ServiceTime,1,29,2654710
LatencyTime,1,30,2881251
ServiceTime,1,30,2140060
LatencyTime,1,31,4274185
ServiceTime,1,31,3809074
LatencyTime,1,32,4041590
ServiceTime,1,32,3546071
LatencyTime,1,33,2494332
ServiceTime,1,33,2114554
LatencyTime,1,34,2491206
ServiceTime,1,34,2262264
LatencyTime,1,35,2013512
ServiceTime,1,35,1595085
LatencyTime,1,36,1892061
ServiceTime,1,36,1697311
LatencyTime,1,37,2237644
ServiceTime,1,37,2058747
LatencyTime,1,38,2433479
ServiceTime,1,38,1978240
LatencyTime,1,39,2397628
ServiceTime,1,39,2098687
LatencyTime,1,40,2632298
ServiceTime,1,40,2379342
LatencyTime,1,41,2387634
ServiceTime,1,41,1972345
LatencyTime,1,42,2136421
ServiceTime,1,42,1939554
LatencyTime,1,43,2144791
ServiceTime,1,43,1678756
LatencyTime,1,44,2041362
ServiceTime,1,44,1582002
LatencyTime,1,45,1909545
ServiceTime,1,45,1687157
LatencyTime,1,46,2516293
ServiceTime,1,46,2359200
