Metric,ExecID,ReqID,Value
MainEntry,1,0,1434843170568477
MainExit,1,0,1434843241560639
Ready2Serve,1,0,1434844327668669
RuntimeReadyTime,1,0,28550920
ServiceTime,1,0,139619419
LatencyTime,1,0,168170339
LatencyTime,1,1,21091650
ServiceTime,1,1,18687685
LatencyTime,1,2,18719674
ServiceTime,1,2,17251891
LatencyTime,1,3,20292398
ServiceTime,1,3,17835421
LatencyTime,1,4,16447192
ServiceTime,1,4,15833671
LatencyTime,1,5,17312042
ServiceTime,1,5,16612494
LatencyTime,1,6,14756879
ServiceTime,1,6,13341274
LatencyTime,1,7,15306044
ServiceTime,1,7,13976682
LatencyTime,1,8,13450512
ServiceTime,1,8,12452897
LatencyTime,1,9,14136648
ServiceTime,1,9,12970411
LatencyTime,1,10,18999229
ServiceTime,1,10,16437749
LatencyTime,1,11,15469553
ServiceTime,1,11,13560284
LatencyTime,1,12,18344820
ServiceTime,1,12,17496709
LatencyTime,1,13,19876057
ServiceTime,1,13,19258655
LatencyTime,1,14,19608097
ServiceTime,1,14,19144464
LatencyTime,1,15,17710505
ServiceTime,1,15,16814603
LatencyTime,1,16,17682517
ServiceTime,1,16,17047195
LatencyTime,1,17,15778091
ServiceTime,1,17,15264147
LatencyTime,1,18,18455535
ServiceTime,1,18,17912652
LatencyTime,1,19,18100525
ServiceTime,1,19,15746595
LatencyTime,1,20,19383156
ServiceTime,1,20,18838412
LatencyTime,1,21,20555370
ServiceTime,1,21,18381468
LatencyTime,1,22,14087003
ServiceTime,1,22,13550977
LatencyTime,1,23,18085608
ServiceTime,1,23,16196889
LatencyTime,1,24,19278932
ServiceTime,1,24,18357387
LatencyTime,1,25,16331707
ServiceTime,1,25,15285039
LatencyTime,1,26,16711006
ServiceTime,1,26,16039699
LatencyTime,1,27,13168155
ServiceTime,1,27,12395332
LatencyTime,1,28,20825473
ServiceTime,1,28,19971371
LatencyTime,1,29,16112271
ServiceTime,1,29,15290166
LatencyTime,1,30,17400024
ServiceTime,1,30,16729744
LatencyTime,1,31,16203084
ServiceTime,1,31,15386788
LatencyTime,1,32,15391562
ServiceTime,1,32,14874686
LatencyTime,1,33,15211162
