Metric,ExecID,ReqID,Value
MainEntry,1,0,1422547042655468
MainExit,1,0,1422547115638722
Ready2Serve,1,0,1422547127758053
RuntimeReadyTime,1,0,160081902
ServiceTime,1,0,139695855
LatencyTime,1,0,299777757
LatencyTime,1,1,21400361
ServiceTime,1,1,17014388
LatencyTime,1,2,15779300
ServiceTime,1,2,14564065
LatencyTime,1,3,14553683
ServiceTime,1,3,13641078
LatencyTime,1,4,17694077
ServiceTime,1,4,15512319
LatencyTime,1,5,18177792
ServiceTime,1,5,17447478
LatencyTime,1,6,14711927
ServiceTime,1,6,12557470
LatencyTime,1,7,16699063
ServiceTime,1,7,15794468
LatencyTime,1,8,19004100
ServiceTime,1,8,17704674
LatencyTime,1,9,17325094
ServiceTime,1,9,16445774
LatencyTime,1,10,18600206
ServiceTime,1,10,17320436
LatencyTime,1,11,17119068
ServiceTime,1,11,16252712
LatencyTime,1,12,18485547
ServiceTime,1,12,16986082
LatencyTime,1,13,18964113
ServiceTime,1,13,18196989
LatencyTime,1,14,18023961
ServiceTime,1,14,17262310
LatencyTime,1,15,19043118
ServiceTime,1,15,18455443
LatencyTime,1,16,16869705
ServiceTime,1,16,16117561
LatencyTime,1,17,20051055
ServiceTime,1,17,18633768
LatencyTime,1,18,19847512
ServiceTime,1,18,17790101
LatencyTime,1,19,25378250
ServiceTime,1,19,23552067
LatencyTime,1,20,17564609
ServiceTime,1,20,16738693
LatencyTime,1,21,17993024
ServiceTime,1,21,17425632
LatencyTime,1,22,19613016
ServiceTime,1,22,18990110
LatencyTime,1,23,19375295
ServiceTime,1,23,18681140
LatencyTime,1,24,12898559
ServiceTime,1,24,12357166
LatencyTime,1,25,15332847
ServiceTime,1,25,14792993
LatencyTime,1,26,16942979
ServiceTime,1,26,16406932
LatencyTime,1,27,18502872
ServiceTime,1,27,17921555
LatencyTime,1,28,16409370
ServiceTime,1,28,15244903
LatencyTime,1,29,13001664
ServiceTime,1,29,12451241
LatencyTime,1,30,17393778
ServiceTime,1,30,16810434
LatencyTime,1,31,17653299
ServiceTime,1,31,16439242
LatencyTime,1,32,14210587
ServiceTime,1,32,13644128
LatencyTime,1,33,19674788
ServiceTime,1,33,17437245
LatencyTime,1,34,21993148
ServiceTime,1,34,19880600
LatencyTime,1,35,17060190
ServiceTime,1,35,16435906
LatencyTime,1,36,20895663
ServiceTime,1,36,20166797
LatencyTime,1,37,17837103
ServiceTime,1,37,17209209
LatencyTime,1,38,16295307
ServiceTime,1,38,15794430
LatencyTime,1,39,16242871
ServiceTime,1,39,15665424
LatencyTime,1,40,18857792
ServiceTime,1,40,18280291
LatencyTime,1,41,21673277
ServiceTime,1,41,20917445
LatencyTime,1,42,19992375
ServiceTime,1,42,18459156
LatencyTime,1,43,16226025
ServiceTime,1,43,15641117
LatencyTime,1,44,17283814
ServiceTime,1,44,16688731
LatencyTime,1,45,19037249
ServiceTime,1,45,18563416
LatencyTime,1,46,18034151
ServiceTime,1,46,17552206
LatencyTime,1,47,17380754
ServiceTime,1,47,16597627
LatencyTime,1,48,17980378
ServiceTime,1,48,17414109
LatencyTime,1,49,15374261
ServiceTime,1,49,14477422
LatencyTime,1,50,18456827
ServiceTime,1,50,17928373
LatencyTime,1,51,19610695
ServiceTime,1,51,19064528
LatencyTime,1,52,19269451
ServiceTime,1,52,16542951
LatencyTime,1,53,15966971
ServiceTime,1,53,15420431
LatencyTime,1,54,15568981
ServiceTime,1,54,15024901
LatencyTime,1,55,16499845
ServiceTime,1,55,15961959
LatencyTime,1,56,17087949
ServiceTime,1,56,16580908
LatencyTime,1,57,19252470
ServiceTime,1,57,18121520
LatencyTime,1,58,22999051
ServiceTime,1,58,22366674
LatencyTime,1,59,18581449
ServiceTime,1,59,17085162
LatencyTime,1,60,16989168
ServiceTime,1,60,16500506
LatencyTime,1,61,16925740
ServiceTime,1,61,16040447
LatencyTime,1,62,17335508
ServiceTime,1,62,16205124
LatencyTime,1,63,17799425
ServiceTime,1,63,17244771
LatencyTime,1,64,19602165
ServiceTime,1,64,19044410
LatencyTime,1,65,17466028
ServiceTime,1,65,16912703
LatencyTime,1,66,18440652
ServiceTime,1,66,17884204
LatencyTime,1,67,17763911
ServiceTime,1,67,16881269
LatencyTime,1,68,23685630
ServiceTime,1,68,22625518
LatencyTime,1,69,21347348
ServiceTime,1,69,19506092
LatencyTime,1,70,18068497
ServiceTime,1,70,17413861
LatencyTime,1,71,20352220
ServiceTime,1,71,19779902
LatencyTime,1,72,16368226
ServiceTime,1,72,15801765
LatencyTime,1,73,17999203
ServiceTime,1,73,17069327
LatencyTime,1,74,17398697
ServiceTime,1,74,16937331
LatencyTime,1,75,12923514
ServiceTime,1,75,12496661
LatencyTime,1,76,14876735
ServiceTime,1,76,14464404
LatencyTime,1,77,20279942
ServiceTime,1,77,19725369
LatencyTime,1,78,18844280
ServiceTime,1,78,18315143
LatencyTime,1,79,18238434
ServiceTime,1,79,17597969
LatencyTime,1,80,19132452
ServiceTime,1,80,18011068
LatencyTime,1,81,20178484
ServiceTime,1,81,19506893
LatencyTime,1,82,17376115
ServiceTime,1,82,16917185
LatencyTime,1,83,25903461
ServiceTime,1,83,25207157
LatencyTime,1,84,19225714
ServiceTime,1,84,18538274
LatencyTime,1,85,18796621
ServiceTime,1,85,18201567
LatencyTime,1,86,17033342
ServiceTime,1,86,16428893
LatencyTime,1,87,17486689
ServiceTime,1,87,17031354
LatencyTime,1,88,16970127
ServiceTime,1,88,15166521
LatencyTime,1,89,17065953
ServiceTime,1,89,16537986
LatencyTime,1,90,17979064
ServiceTime,1,90,17197948
LatencyTime,1,91,16352649
ServiceTime,1,91,15780502
LatencyTime,1,92,18456339
ServiceTime,1,92,17927143
LatencyTime,1,93,15612406
ServiceTime,1,93,15040689
LatencyTime,1,94,18765068
ServiceTime,1,94,18247292
LatencyTime,1,95,18721790
ServiceTime,1,95,17274332
LatencyTime,1,96,16699611
ServiceTime,1,96,16170630
LatencyTime,1,97,14721791
ServiceTime,1,97,13810556
LatencyTime,1,98,13658793
ServiceTime,1,98,13160861
LatencyTime,1,99,17025731
ServiceTime,1,99,16622443
LatencyTime,1,100,17993909
ServiceTime,1,100,17490250
LatencyTime,1,101,17940760
ServiceTime,1,101,17496247
LatencyTime,1,102,15608486
ServiceTime,1,102,15103596
LatencyTime,1,103,18478379
ServiceTime,1,103,17920345
LatencyTime,1,104,16669656
ServiceTime,1,104,16127708
LatencyTime,1,105,16800173
ServiceTime,1,105,16351537
LatencyTime,1,106,21643196
ServiceTime,1,106,21168285
LatencyTime,1,107,16206791
ServiceTime,1,107,15706823
LatencyTime,1,108,15612053
ServiceTime,1,108,15127153
LatencyTime,1,109,19888226
ServiceTime,1,109,18176870
LatencyTime,1,110,15376130
ServiceTime,1,110,14899859
LatencyTime,1,111,16220542
ServiceTime,1,111,15785033
LatencyTime,1,112,17814692
ServiceTime,1,112,17260756
LatencyTime,1,113,16636809
ServiceTime,1,113,16081833
LatencyTime,1,114,15289000
ServiceTime,1,114,14417546
LatencyTime,1,115,18579743
ServiceTime,1,115,18057596
LatencyTime,1,116,19625247
ServiceTime,1,116,17565697
