Metric,ExecID,ReqID,Value
MainEntry,1,0,2034545982741597
MainExit,1,0,2034546066469697
Ready2Serve,1,0,2034547385348609
RuntimeReadyTime,1,0,66629795
ServiceTime,1,0,16892897
LatencyTime,1,0,83522692
LatencyTime,1,1,21788737
ServiceTime,1,1,19786613
LatencyTime,1,2,20273776
ServiceTime,1,2,19057130
LatencyTime,1,3,17763609
ServiceTime,1,3,16482698
LatencyTime,1,4,17553264
ServiceTime,1,4,15937911
LatencyTime,1,5,17348515
ServiceTime,1,5,16003532
LatencyTime,1,6,18990085
ServiceTime,1,6,17855745
LatencyTime,1,7,19605265
ServiceTime,1,7,18824514
LatencyTime,1,8,19728761
ServiceTime,1,8,18980678
LatencyTime,1,9,17281907
ServiceTime,1,9,16040720
LatencyTime,1,10,19042927
ServiceTime,1,10,18070001
LatencyTime,1,11,21802588
ServiceTime,1,11,19622634
LatencyTime,1,12,19419887
ServiceTime,1,12,17751745
LatencyTime,1,13,17083757
ServiceTime,1,13,14922226
LatencyTime,1,14,18455721
ServiceTime,1,14,17618699
LatencyTime,1,15,16019571
ServiceTime,1,15,15307960
LatencyTime,1,16,14470135
ServiceTime,1,16,13277557
LatencyTime,1,17,17540690
ServiceTime,1,17,16743837
LatencyTime,1,18,15415172
ServiceTime,1,18,14139772
LatencyTime,1,19,16296720
ServiceTime,1,19,15409656
LatencyTime,1,20,17803633
ServiceTime,1,20,15727470
LatencyTime,1,21,16090773
ServiceTime,1,21,15506276
LatencyTime,1,22,18093901
ServiceTime,1,22,17427428
LatencyTime,1,23,17023859
ServiceTime,1,23,16412496
LatencyTime,1,24,13645874
ServiceTime,1,24,12900491
LatencyTime,1,25,17834621
ServiceTime,1,25,16776076
LatencyTime,1,26,16316085
ServiceTime,1,26,15644274
LatencyTime,1,27,20280754
ServiceTime,1,27,19669348
LatencyTime,1,28,17752483
ServiceTime,1,28,17178759
LatencyTime,1,29,15495062
ServiceTime,1,29,14928161
LatencyTime,1,30,18005019
ServiceTime,1,30,16486321
LatencyTime,1,31,15935303
ServiceTime,1,31,14329013
LatencyTime,1,32,15654384
ServiceTime,1,32,15035312
LatencyTime,1,33,15853751
ServiceTime,1,33,14701575
LatencyTime,1,34,13993540
ServiceTime,1,34,13360600
LatencyTime,1,35,17022715
ServiceTime,1,35,16466039
LatencyTime,1,36,16093514
ServiceTime,1,36,15398945
LatencyTime,1,37,16271635
ServiceTime,1,37,15643753
LatencyTime,1,38,19907363
ServiceTime,1,38,19311072
LatencyTime,1,39,19458052
ServiceTime,1,39,18002383
LatencyTime,1,40,15931155
ServiceTime,1,40,15239110
LatencyTime,1,41,18804938
ServiceTime,1,41,18154626
LatencyTime,1,42,14028193
ServiceTime,1,42,12863495
LatencyTime,1,43,13602062
ServiceTime,1,43,12969098
LatencyTime,1,44,18951419
ServiceTime,1,44,18351077
